雄黄,"两,片,g,钱半"
入砂锅内,None
五味子,"钱,g,克,枚,两,分,石,None"
草果,"斤,两,None,克,g"
凌霄花,None
广木香,"两,斤,钱5分,钱4分,钱,克,g"
石见穿,克
湿纸包,None
川当归,"两,None,g"
姜汁浸,两
朴消,钱
海螵蛸,"斤,两,克,g,None,分"
韭白,斤
片子白姜黄,两
黄苓,"None,两"
铅粉,"千克,克"
紫河车,"g,具"
南香附子,斤
人参二十,两
旧青皮,两
泽泻,"g,两,None,克,钱半,分"
肉苁蓉,"g,两,两2钱,None,克"
麦冬,"两2钱,钱,两5钱,两,克,分,g,None,两半"
川楝子,"钱,克,两,g"
楮叶,斤
北艾叶,None
白矾末,两
基黄,g
涂生姜汁,None
田螺壳,None
先以醋同浸一宿,克
辛夷花,g
杜仲,"g,两,两2钱,克,钱,两6钱,分,斤,合,None"
根,斤
柳枝,斤
醋,None
加米仁汁蒸,None
茵芋,斤
银箔,片
垂柳枝,两
破故子,"g,两,钱"
公丁香,"斤,两,None,钱,分"
牛蒡子,"g,钱5分"
天冬,"g,两,两半,两2钱,克,两7钱,钱"
炒黄芩,"钱,g"
羚羊角屑,"克,两半"
苏叶,"g,两,钱,钱5分,两5钱,斤,克,None"
酒,"None,升,分,克"
鹿尾,"g,两"
抚川芎,两
鲜鹿胎,具
生香附,两
远志,"g,两,两2钱,钱,克,None,分"
酒炒菟丝子,克
炒蒲黄,g
味不下罐,None
金顶砒,分
姜汁炒黄连,克
莱菔子,"两,g"
乌药,"g,两,钱,克,斤,None"
苏叶五叶,None
鸡冠花,"g,两,钱"
漏芦,"g,两"
胡连,"两,None"
白矾,"两,g,克,钱"
入前三味调匀,None
仙茅,g
童便,None
棕榈,"None,g"
花蕊石,g
淡附片,g
红粉,"g,钱"
水牛角,"g,两"
铺槽揽匀,None
槐树枝,g
盐水浸,None
浸至日足,None
黄芪,"g,两,两5钱,两3钱,克,None,分,两半,钱"
本品为人参,None
艾叶,"g,两,克,钱4分"
鹿角,"两,斤"
白头翁,g
路路通,克
椿白皮,两
麸炒枳壳,克
柏子仁,"两,克,两半"
葱白,"斤,握"
日俱可采,None
石臼杵捣,两
诃子,"两,g,钱,枚"
全蝎,"两,钱,g,钱半,个,份"
小油,钱
马牙消,两
藁本,"g,两,钱,两2钱,斤,千克,克,None"
研烂,None
鸭跖草,g
活鲤鱼,g
穿山甲,"两,克,钱,g"
肉桂,"g,钱,两,两5钱,None,斤,两7钱,千克,克,分,两2钱半"
泽兰叶,"两,克"
巴戟天,"克,g,分,两,None"
络石藤,g
寄奴,克
苏木,"克,None"
肉豆蔻,"g,两"
佛手,"克,g"
上沉香,克
用淫羊藿,斤
用重物去油,None
山豆根,None
桔梗,"钱,None,两,克,g"
炙川军,g
没药,"g,两,克,钱,None,千克,分,份"
寒水石,两
白胶香,钱
西洋参,克
南芎,两
菟丝子,"g,两,钱,克,两2钱,斤,两6钱,两半,分,None"
刺力,g
草乌,"两,钱"
川乙金,g
白龙骨,"两2钱,两"
冬葵子,"两,None"
荔枝核,g
角焙燥,None
冬浸,None
辽参,两
酒润,None
冰硼散,支
败龟甲,两半
当归尾,g
姜汁涂,两
常山,两
生干地黄,"克,两"
雄鸡屎,两
附子,"枚,两,g,None,～30克,分,个,克,钱半"
苍术,"两,None,g,克,钱"
山楂子,两
车前子,"两,g,克,None"
红曲,克
葛根,"None,两,克,g"
益母草,"g,None,斤,克,两,钱,钱4分,kg,分,千克"
杏仁,"None,两,粒,g,克,钱"
重楼,g
猪牙皂荚,两
大蒜,头
沙菀蒺藜,两
枇杷叶,克
苦楝子,两
赤小豆,"g,克,两"
松香,g
恒山,两
三棱,"None,克,两,g,两2钱半"
川芎白芍,千克
苦葫芦,两半
秦艽,"g,两,钱,两5钱,None,份"
蚕茧炭,钱
附片,"斤,g"
山奈,斤
蓬茂,克
侧柏,两
广茂,克
同香附用陈醋,克
舶上茴香,两
血余炭,"g,两,钱4分,钱,克"
紫石英,"钱,两,克"
炙熟,None
川羌,"钱5分,两,None,钱,g,份"
犀角,"None,两"
月季花,g
赤勺,g
龟版胶,"两,g"
车前水浸,None
如此淬尽,None
银朱,钱
蚕绵炭,两
柽柳花,None
薄官桂,两
法夏,g
醋淹,None
胭脂,钱
鸡内金,"具,g"
烧盐,钱
高良姜,两
油木香,克
射干,"克,钱5分,斤,分"
蜂花粉,g
乳香,"g,两,斤,钱,None,钱半,克,份"
白蔹,两
煎汁制,份
紫苏,"g,None"
泔水浸,两
干蝎,"两,分"
猪苓,"两,钱半,None"
用,None
黄连,"克,两,g,None,钱"
鼠妇,分
共研为但末,None
栀子炒黑,两
日[扌采],None
五倍子,"两,g"
茯神,"两2钱,钱,克,分,两"
山栀仁,克
炙大黄令干,None
甘枸杞子,None
白石英粉,两
香附末,两
粉大甘草,钱
乌贼鱼骨,两
白豆蔻,"克,斤,g"
州所出者,None
米泔浸,分
虎头骨,两
山栀子仁,两
防己,"两,g,钱"
巴豆,"分,枚,个,两,钱,None"
石柱参,两
