雄黄,"克,g,钱,两,分,None,钱5分,千克,钱半"
怀牛膝,"克,g,两,钱"
炙粟壳,g
方入下药,None
细切,"None,两"
广木香,"钱,g,分"
生鸡内金,g
醋炒椿皮,g
五加皮,"钱,两,None"
渐贝,g
梨汁,None
藕汁或萝卜汁磨京墨,None
泽漆,"两,分"
黄雌鸡,只
象皮,"钱,None,克"
冲服生赫石,g
生姜汁,"毫升,合"
面针,g
焦栀芩,克
陈年石灰,两
闪耀,g
莲心,"钱,g"
乌贼骨炭,g
麝香,"g,克,None,分,钱半,钱,两,字,钱5分"
%甘草粉,g
山药,"分,钱,两,克,None,g,石,升"
蛇床子,"None,g,钱半,升,两,克"
景天三七,两
天竺黄,"字,g,钱,分,克,两"
生黄花,g
倾入水中,None
桑椹子,g
候良久,None
漉出,None
槐芽,None
大半夏,两
童尿浸一宿,克
陈槐花,克
川当归,"两,None"
木馒头,"g,两"
海螵蛸,"钱,两,克,g,升,None"
铅粉,"克,g,两"
黄苓,g
雪梨,只
发膏,两
山萸,"钱,两"
紫苏茎叶,"两,克"
肉苁蓉,"g,斤,两,None,两6钱,两半,克,钱"
麦冬,"两,钱,克,None,g,升,石,分,两半"
山栀子炭,g
生龙牡,g
以麻缠,None
绿豆壳,克
余药制,None
高山辣根菜,g
取出焙干,None
黑牵牛,"两,None,分"
柿蒂,钱
珍珠层粉,g
干荷叶,None
苏合香,克
海蛤,分
破故子,"g,None,克,分"
食盐,两
鲜旱莲草,克
匾蓄,克
羚羊角屑,"两,克,分"
苏叶,"两5钱,g,None,克,钱"
葵花,朵
香附,"克,钱,两,钱半,g,None,斤,分"
山栀炭,"克,g"
%乌贼骨粉,g
瓜蒌,"克,g,颗,钱,两,个,None"
绿豆,粒
萆薢,"两,分,g,None"
莱菔子,"None,g,两"
怀庆元支地黄,两
炼雄黄,g
橘饼,克
漏芦,"钱5分,两"
胡连,"g,石,克,分,两,钱"
麝香半字,None
羊肾脂,两
炮甲片,克
独支当归,钱
煅过,None
仙茅,g
漏篮子,个
用炭火烧存性,克
花蕊石,"None,克,g"
刃克,None
刺猬皮,两
水牛角,"克,g"
别捣,升
油核桃,两
黄芪,"两,None,钱,斤,-20克,克,分,g,钱2分,两半"
李子仁,两
鲜稻穗,支
小牙皂,两
南沙参,"克,钱"
全蝎,"g,钱,枚,两,克,None,钱5分,分"
柞木枝,两
鲤鱼鳞,两半
大生地黄,千克
同水磨,None
雪里开,None
乱发灰,分
松实,升
牛胆南星,钱
六月雪,g
生梨,g
蕤仁霜,g
好石灰,克
新罗白附子,两
肉豆蔻,"g,钱,None,两,分,克"
酒黄芩,g
炒槐花,"斤15两,石"
线系于通风处挂,None
阿魏,克
雄蚕蛾,None
鲜枇杷叶,克
马齿苋,"克,g"
椿皮炭,钱
松节,钱
北,None
景天,两
炒蕲艾,钱
火消,分
木鳖仁,两
鹿胎,None
当归尾,"g,None,升,克,钱"
中盏,None
苍术,"克,g,两5钱,两,None,钱,分,斤"
车前子,"g,石,两,升,分,钱,克,None,钱5分,两半"
红曲,None
葛根,"斤,g,克,None,两,分,钱"
玄在,两
重楼,g
猪牙皂荚,两
粉丹,g
阴地蕨,两
黑牵牛头,两半
连皮桃仁,克
苦桔梗钱半,None
皂荚枝,None
远年石灰,克
恒山,"分,两"
蝎稍,分
藏瓜姜内糟,两
焦三仙,"g,钱"
甜瓜蒂,"None,-7枚"
犀角屑,"克,两,分"
麦门冬汁,升
蓖麻油,ml
麸炒微黄,None
京墨,"克,两"
椿白皮,克
紫荆皮,None
蜣螂,对
水红花子,g
粟米,"None,千克"
松萝,两
棕皮,克
射干,"g,克,None,钱,两"
藕取汁,升
露七夜,克
白蔹,"钱,两,None"
北方绵大戟不堪用,None
贯众,"g,两"
沙糖,g
太子参,g
剪芡实,g
青娘子,只
炒黄柏,克
藁本,"None,克,两,两半"
至杭芍,g
牛角鳃,两
菖薄,g
炒荆芥穗,g
正冰片,g
乌贼鱼骨,"两,两半"
白豆蔻,"g,两"
去芦根,None
茅根汁,升
川归身,克
防己,"g,分,两"
白芨片,g
蛇尾制,None
参三七粉,g
甘遂,"钱,None,两"
调匀,None
春砂仁,分
如无牛胆,克
入全蝎,None
250,None
麦冬肉,两
鲜芦根,"g,克"
炒川断,g
白及粉,g
炒黄芪,升
紫花地丁,"g,钱,None"
枯矾,"分,g,合,None"
不灰木,两
童子小便,合
生地黄汁,"毫升,合,None"
穿破子,g
酸安石榴子,克
远志,"None,g,克,斤,两,钱5分,钱"
前胡,"分,None,g,两"
制大黄,g
栝楼实,枚
炒党参,g
酥炙,锭
螺蛳壳,两
海粉,None
槐米,"g,钱,两"
竹沥,钱
川牛膝,"g,克"
地龙干,克
茯苓,"克,两,None,斤,钱,g,两5钱,分,钱半,钱5分"
茜草,"钱半,None,克,钱,两,g"
京牛黄,克
炙紫菀,"克,钱"
淡黄丹,钱
萆蓄,g
百合,"斤,千克,分,两,g,克"
牙消,"两,分"
煅瓦楞,g
木灵芝,"克,g"
罂粟过,／2份
炙干草,g
虎杖,g
黑姜炭,g
刺蓟,"克,两"
炷香足,None
益母草炭,g
紫金片,分
乌蛇尾,钱
生柏叶,None
鸡冠花,g
石马鬃,两
溲疏皮,钱5分
土贝母,None
樟脑,g
炒令黄燥,None
煅落铁屑,None
川五倍子,两
炙椿皮,g
焦芥穗,g
白术,"两,克,None,钱,～9克,g,重,升,两5钱,钱半,分,两半,份,斤"
川芎,"两1分,钱,None,克,两,g,分,钱5分,钱半,两半,斤,千克"
特蛎,g
火硝,两
煨木香,g
乌头,两
牛蒡根,斤
鹿角片,g
红景天,g
碘酊,g
槟榔,"克,g,None,两,两半,分,钱,枚"
阿胶大羊白及,g
制军炭,g
藕汁,"毫升,升,g"
桑根白皮,"斤,克,分,两"
紫苏,"None,g,斤"
干克,None
白信石,"分,g"
桑枝,"None,g"
车前叶,两
龟板,"克,g,两"
生藕节,g
天雄,"两,分,克"
蜈蚣外制,None
当归,"克,两半,钱,None,斤,两,g,千克,钱5分,分,升,钱半"
京赤芍,g
南木香,钱半
