雄黄,"钱,钱3分,克,分,g,千克,None,两,石"
龟板胶,克
黑丑头,两
川五灵脂,分
乌鸡卵,个
陈香橼,两
川贝粉,g
生明乳香,克
以慢火焙燥,None
一半为衣,None
蜜枇叶,g
醋灵脂,两
炙旋覆花,g
腥星,g
生薏米仁,g
芒消,"钱,克,两,None"
川连面,g
红褐,克
蔻壳,g
昆布,"克,g,None,两,钱"
桑奇生,两
猪肪,斤
天麻,"两,克,分,g,钱,两2钱,两5钱,None,两6钱,钱半,双"
全栝楼,g
牡荆子,"分,钱半,铢"
当归头,克
真豆油,克
苏合香,"两,毫升,克,g"
槐花,"钱8分,两,分,钱,None"
蛤壳,"两,钱,g,克,千克"
固济了瓶子中,None
地龙肉,克
同拌和,None
制半夏,"千克,None,钱,克,g,片"
鳖甲,"两,None,g,分,克,两半,两1分"
龙涎香,钱
广郁金,"g,石,钱"
另以砖砌,None
白马蹄,"两,克"
芫花,"两,克,合,None,钱,分"
玄茯苓,g
白石英,"g,两半"
落得打,g
生爪龙,g
熟地,"两3钱,克,g,钱,～30克,两,～15克,None,-3钱,～9克,钱半,两5钱,分,钱5分,-5钱"
绿升麻,None
预知子,g
虻虫,"g,分,两"
上甘松,g
麻子,"合,石"
芦荟,"斤,克,钱,分,两,g"
姜皮,"g,钱"
猪胆汁,"ml,个"
滚这,-5个
盐,"两,千克,斤,克,合,分"
味先用米泔水浸,None
瓶盖上钻,None
上骨片,g
红泽兰,克
大米,克
炙山甲,g
天麻苗,两
酒拌,两
蛇莓,"g,克"
栀壳,g
橘核仁,两
龙胆草,"None,克,g,石,两,钱,两半"
当归钱半,None
清水洗,None
陈佛手干,两
大黑附子,两
碳酸,g
碧玉散,None
活鲫鱼,条
灯芯灰,钱
味相和炒,None
生姜片,片
鲜侧柏叶,None
佩兰,"g,克"
仙鹤草,"g,None,克,分"
玄明粉,"两,钱,克,None,g"
井花水洗净,None
紫草,"None,g,两,钱"
全瓜萎,g
秫米,"克,两"
绢裹,None
淡附,g
纸封晒干,两
中厚朴,钱
人参,"两5钱,两,钱半,克,分,g,钱,两半,None,-3钱,两1分"
生磁石,克
慢火熬成膏后,None
乌梢蛇,"钱,g,两"
蕲蛇,"克,g,条,None,两"
人中黄,None
犀角末,钱
煎数沸去滓,None
诃子,"两,两5钱,None,克,g,枚,两半,分,钱"
防已,g
龙葵,g
桑螵蛸,"钱5分,克,两,枚"
生玳瑁,"分,g"
钟乳粉,"克,两"
红乌柏,g
矮地茶,g
紫葛,分
川浙贝,g
海蛤粉,"克,g"
钱,文
黄酒,"克,None"
炙黄芪,"克,g"
炙甲片,g
和后药末,None
于银器中慢火熬成膏,None
麸微炒,两半
豹骨,g
入在橡斗子内合定,None
批杷叶,g
硫黄,"g,两,分,None,钱,克,铢"
猪琰子,个
桂心干姜,克
丽参,钱
禹馀粮,两
慢火熬,None
北芪,克
麦芽,"None,两,克,钱,g,分,两半"
陈冬米,两
生鸡内金,克
陈仓米,升
使君子肉,"钱5分,钱,None,两5钱"
微炙,条
赤芍,"None,克,分,g,钱,两,两半,钱半,钱5分,两6钱,石,两5钱"
用泥固济,None
面粉,克
生米仁,g
尾全者,None
生黄芩,"钱,克,g"
川加末,两5钱
蝼蛄虫,只
酒洗,两
绿梅花,g
鸡冠花与子,g
上广皮,None
六一散,克
日午时择透明朱砂,None
涂酥炙令黄焦,None
松子,两
香油,"斤,None,g"
清油,两
桃仁泥,g
欢皮,g
慢火上麸炒令焦,None
绛矾尤佳,None
于地铺纸出火毒,None
夜明砂,"克,g,None"
钩蘑,克
再泔浸一宿,None
桅子,"g,None"
指大,None
蜂蜡,"斤,g,钱,None,钱5分,两"
小皂子树,None
毛冬青,"g,克"
熟半夏,None
炒荆芥,"克,钱半"
下大黄末,None
醋淬,"None,两,克"
大茴香,"g,两,None"
山田,钱
川雅连,分
炙兜铃,g
瓷瓦器内慢火炒,克
全归,钱5分
紫草茸,None
辛荑花,克
研令极细,None
白豆蔻仁,"克,两"
上肉桂,"钱5分,～9克,g"
金沸草,"g,克,分"
生龟版,钱
茱萸,两
青皮,"分,两5钱,两,钱,None,克,g,斤"
随炉中炭火化完为度,None
剁令极匀细微,None
虎胫骨,"两,对"
败棕榈,None
胡桃,两
捞出,None
盐豉,None
日晒夜露,None
飞过辰砂,钱5分
羊肉,"斤半,两"
可将球取起,None
王不留行,"g,克"
丁香大者,分
尤以纸包石,None
金箔,"片,None,～7片"
芋梗,g
滤净清,None
S克,None
去瓤净,None
飞青黛,钱
净细辛,克
杏霜,None
鼠粪,钱
锡灰,钱
参,None
取粪坑内蛆淘净,None
滚水,-8碗
冬葵,g
青天癸,g
猪肾,对
胆喃星,g
红粉,g
实,"g,None"
瓜篓,g
捣成饼,两
桃红,g
鸡子大,None
儿条,g
石斛,"两,克,钱,g,分,铢,None,两半"
蚱蝉,枚
杧果核,g
绵滤,None
瓜萎皮,g
藕片,g
炙焦黑,克
炙微黄,None
以白瓷器贮,两半
合欢皮,g
生瓦楞,g
当归身,"克,两,钱,g,None,两半,分"
毕澄茄,"两,g,分"
煮取,升
不拘几只,None
同入小砂罐内,None
涂酥炙令焦黄,None
生附子尖,个
以盆盖之,None
三七末,钱
鸡苏叶,"千克,斤半,两半"
晚蚕沙,两
鲜藕,斤
槲寄生,"g,分,None"
金樱子肉,钱
布楂叶,g
同消石为末,克
生山栀,"钱,g"
用白矾,"两,克"
白芥子,"克,两,钱,～15克,None,g,份,分"
百药煎,"钱,两,分,克,None"
黑蝉,None
重楼,"克,g,石"
砂仁,"两,克,钱,g,None,枚,钱半,分,粒,斤,两5钱"
法更,g
党参,"钱,克,g,两,None,石,升"
生草乌,g
表现,g
苁蓉,"两,铢,钱,None,两半,克,分"
枇杷叶,"钱5分,两,g,两5钱,克,～15克,-15g,None,片,钱,两半,分"
杏,g
赤苓,"克,两,分,钱,None,钱5分,g,两半"
鬼箭羽,"两,钱,分,g"
调胃承气汤,钱
松节,"钱,g,两"
蘸,None
八角金盘,克
研末冲服延胡索,g
味用醋拌于瓷器内,None
新升麻,克
真麝香,"分,钱"
茶叶,"克,g"
蜜炙麻黄,g
萝卜汁浸拌,None
罗卜子,钱
磁朱丸,钱
碎锉,克
瓜儿血竭,"克,钱"
O克天麻,克
干姜皮,克
鸡胆,个
川谏子,g
丹皮,"None,克,钱,钱2分,g,两半,两,钱半,分,两6铢"
苏半夏,g
又添黄连汁,None
蒸透晒干,None
炒杜仲,g
桂枝,"克,分,None,钱,g,钱半,两,石"
头面,两
粗理黄色磨石,斤
布,g
花黄丹,None
杭芍药,g
炒黑地榆,g
为极细末,None
瓦楞,g
米泔浸三日,克
用水照上浸,None
桔梗五,两
东丹钱半,None
同炒黑色,None
制紫菀,钱
瓜壳,g
黄芩,"None,g,钱,克,两,钱5分,分,钱半,两半,两1分"
姜远志,None
小茴香,"钱,两,g,克,分,None"
蓖麻子肉,克
或血热动血者,None
雌黄,两
盛贮晒干,None
草豆蔻仁,"钱,枚"
桂圆肉,"克,两,None"
楂子,None
石南,铢
大麦糵面,钱5分
制麻黄,"钱,g"
鲜沙参,None
煎至,盏
大黄如枣大,块
青礞石,"None,g,克,两"
大桉叶,g
山茨茹,g
赤芍l,g
干漆,"两,钱,None,g,分"
大麦冬,"g,None"
枳壳柴胡,g
寸香,钱
乌药,"克,钱,两,g,None,分,两5钱"
用酒同三棱浸一宿,None
牡蛎粉,"克,None,两,分"
香墨,"None,两,g"
砂糖,"None,钱"
炒干姜,克
当归梢,"钱半,分"
荆芥穗末,两
蒙事,g
去土净刮去粗皮,None
生桑皮,克
回克,None
便以盐泥塞其上窍子,None
川木通,"None,分,克,两,g,钱,钱5分,两半"
烧存性,份
用甘草,两
炒曲,"钱,分"
黄栌木,斤
金斛,None
大炉,None
皂角刺,"克,g,石,两,钱"
羊蹄草,g
生韭叶,克
去白瓢,两
七十五,None
炒薏苡仁,g
蝎,个
密蒙花,"g,钱,斤,分"
21,None
佛手花,"克,g"
猪油,"斤,g"
母丁香大者,个
黑牵牛末,两
白芨,"两,g,克,钱,分"
白明矾,钱
木馒头,"克,g"
醋淬七次,None
羊胆,个
放深缸中,None
釜月下焦黄土,块
柿霜,两
乌稍蛇,g
烂杵,None
麦门冬琥珀,克
吴白正,两
白花地丁,克
侧柏炭,g
菊花,"克,两,g,钱,分,None"
猪膏,个
黄药脂,g
淡竹叶,"张,克,g,分,升,握,两,None"
附,None
爪巴止虎,g
白降丹,g
大葱白,茎
糯米,"克,勺,合,None"
灰蓉,两
茵陈蒿,"g,两,克,斤,钱,None"
水瓜,None
山羊血,None
宿后去黑皮,None
生绢,尺
升阳散火汤加羚羊角,None
切作,片
肉蔻霜,None
苦楝皮,"None,克"
细研,None
板兰根,g
大白芍,None
胭脂,分
生槐花,g
好酒浸一宿,None
紫豆蔻,克
木鳖仁,两
穿山甲珠,g
蜣螂,"克,枚,钱"
泽兰,"g,克,None"
生石膏先煎,g
如鸡子大,None
牛蒡根,g
每份,克
白部,g
千金子,"克,分"
地锦草,两
用瓷器盛,None
蒸百部,"g,None"
铁树叶,克
五倍子,"None,g,重,钱,两"
白茯神,"两,克,钱半,钱,两半"
赤茯神,克
广橘皮,钱
臭黄,两
苇,g
己椒丸,g
凤凰衣,None
雄黄面,克
西党参,g
藤黄,"克,g,两"
婴粟壳,两
黑豆,"升,两,g,粒"
炙款冬,g
青蒿穗,克
浙贝,"g,None,千克,kg,克,两,斤,钱"
蒴藋根,斤
无名异,两
每炉甘石,两
五味子,"钱,克,分,两,粒,g,钱5分,钱半,None,石,两1分,两半,个"
草果,"两,克,None,枚,g,钱"
手搅之,None
八角附子,个
