南木香,"钱,钱半,两"
山药,"克,两,g,钱,钱5分,石,None,分,两半"
鲫鱼,分
蛇床子,"克,g,合,钱,分"
九层风,g
更换研数十次,None
天竺黄,"两,g,钱,字,克,分"
玳瑁骨,g
制豨莶草,克
车前草,"g,None"
金狗脊,克
桑椹子,"g,None"
韶粉,"两,None"
梨母子,斤
羊肾,具
炙何首乌,g
白茄根,"克,None"
熔于,None
凌霄花,"None,克,两"
川中膝,g
约留药盒子口下及,None
白沙糖,两
归宗汤加紫草,None
川当归,"克,g,None"
酸石榴根,两
枣膏,"分,合"
鹳骨,两
老虎月利,g
海螵蛸,"克,g,两,None"
苟杞子,g
铅粉,"分,两,钱,两半,None"
黄苓,None
零陵香,"钱,两,克"
栀子花,g
酥炙脆,两
山萸,g
金果榄,枚
生香附,"钱,g"
梗,千克
熊胆,"分,钱"
肉苁蓉,"两,克,None,g,石,两5钱,两半,分,钱"
用青木香炒香,None
麦冬,"两,克,钱,g,石,分,None,两半,钱5分,钱半"
连皮大腹槟榔,枚
全蝎,"克,None,g,两,钱5分,-12克,石,条,只,尾,钱,个,分,枚"
珍珠,"g,两,钱,分,克"
紫竹根,把
煮,None
梅花脑子,钱
生姜汁制,两
鹿角霜,"克,钱,g,None,分"
穿山龙,"克,-15克,g"
大黄耆,两
紫胡,g
黏子,None
杜仲,"两,克,g,钱5分,钱,None,两半,合"
川槿皮,"g,克"
陈粟米,分
活短头发,两
青枫藤,g
纸滤取清,None
加姜汁浸炒黄连,钱
南香附子,斤
破故子,"两半,斤,None,两,克,g,钱"
食盐,"两,g,分"
真排草,两5钱
肉苁,g
防葵,"分,两"
匾蓄,"克,g"
潞参,钱
二蚕绵,两
苏叶,"g,None,两,分,钱半,克"
白附,g
香附,"None,两,克,g,钱,两4钱,钱半,双,斤"
建菖蒲,g
远志,"None,g,斤8两,两,钱,石,两半,克,两1分,分,钱半"
瓜蒌,"钱,克,石,g,两,个,None,分,枚"
豹皮樟,克
绿豆,"两,钱"
巴豆仁,粒
萆薢,"克,两,g,None,钱,石"
莱菔子,"None,g,两,钱"
川归身,两
猫头骨牙爪,副
漏芦,"克,g,None,钱"
胡连,"g,分,钱,两,None,克"
丁香皮,两
酒浸软,None
白云苓,"克,钱"
包,None
炮甲片,g
鲜桃树枝叶,g
仙茅,g
青葙子,"克,g,None"
鲜凤尾草,根
稀签草,g
生附子,g
淡附片,g
刺猬皮,"枚,两,个"
鲜垂盆草,g
水牛角,"g,None"
化,None
花生仁,份
萸贮,两
生赤勺,g
黄芪,"克,两,g,None,合,钱,钱5分,分,两半,两5钱,钱半"
用生姜汁和,None
广藿香,"g,钱"
白头翁,"g,两"
鲜泽漆,g
曲衣,两
生薏苡仁,g
白绒鸡,尾
健猪前蹄,对
百合根,None
次将醋倒入,None
莶草,g
米泔浸过,None
乱发灰,两
老葱胡,个
贯众根,两
玉霜,两3钱
黄矾,分
研烂,None
糯稻根,g
蔓荆,None
绞股蓝,g
牛胆南星,钱
朴消,"钱,两,克"
摊在筛内,None
大麦糵,钱半
川木香,g
紫草根,g
乳香炭,g
寄奴,None
茯苓末,两
红灯芯根,g
肉豆蔻,"个,分,钱,钱半,两,g,None,两5钱,枚"
生栀,钱
玉竹参,g
血见飞,g
秦花,g
桑桂枝,g
阿魏,"两,钱,None,分,g,两6钱,钱半"
锦荘黄,两
败酱草,"两,g"
关木通,g
马齿苋,"两,None,g"
寒水石,"g,两,克,钱,分"
去毛骨,None
鹿香,g
鸡矢藤,"g,份"
石斛,"g,克,钱,分,两,两半,None"
南芎,克
菟丝子,"克,g,斤8两,两,None,钱"
全蝎尾,g
虎头骨,两
刺力,g
臭黄,分
炒荆芥,g
新鲜烟叶汁,斤
挂当风处阴干,两
用童便浸炒,两
[方源]古方化裁,None
紫丁香,g
母猪蹄甲,两
豆腐皮,两
火消,两
炒莱菔,两
蒸熟,None
当归尾,"克,g,钱,两,分"
阴干,None
海蛇干,None
大胡桃,枚
制远志,克
生苡米,g
栗楔,两
车前子,"两,钱,g,分,克,None,两半,升"
红曲,"g,两"
葛根,"克,两半,钱,g,-30克,None,分,两,钱半"
重楼,"克,g"
胆矾,"克,两"
蔓荆子及叶,g
黄雌鸡,两
白雄鸡一,只
岗梅,g
白龙脑,"None,分"
柿蒂,"两,分"
乌贼鱼骨,两
炙没药,g
青葱管,g
炒川连,钱
雌黄,"斤,两,分"
生铁屑,两
香加皮,"g,None"
