别用汤洗去矾,None
马兰根,g
西瓜霜,钱
炒黄,克
扁豆衣,g
佛手,"钱,克,g"
通气藤,g
蜜柑,个
荆实,两
焦槟榔,"g,None"
火硝,"两,None,斤,g"
人乳,None
焦栀,"克,g"
水飞蓟素,g
连子心,g
以麻缠定,None
穿山甲,"克,g,None,钱,斤,钱3分"
香砂六君丸,None
酒浸湿,None
更用黄明胶三文,None
罂粟壳,"两2钱,g,None"
熟干地黄,"None,两,克,分"
净没药,克
榴皮,g
赛葵,g
辛荑花,"克,g"
以银罐放炭上,None
制川军,g
龙牡,g
茯苓块,克
真珍珠,钱
吴白术,克
川军炭,g
净虫退,g
鬼针草,g
白豆蔻仁,"克,两,两5钱"
白槟榔,"个,两半"
金扁柏,g
明雄黄,g
"白花蛇
舌草",g
刻乳香,g
五不留行,g
黑脂麻,两
鬼前羽,g
红大戟,"两,g"
真珠粉,None
以醋,升
生甘石,g
青海粉,两
制何首乌,None
东壁土,g
明硼砂,钱
盐柏,克
三七粉,"克,g"
杀风桔,g
酒杭芍,克
炒竹茹,g
正雅连,分
生假苏,斤
礞石,"g,钱"
马勃,"克,钱,g"
白豆蔻末,克
雄猪肚,具
茅香,两
大虾蟆,只
干芦根,g
木贼,"克,None,g,分"
向日葵白茎,尺
麻子仁,克
再用生姜自然汁于银盂中浸一昼夜,None
北茴香,两
干金钱草,g
白占,两
细生地,"克,g"
弱酸,g
扎尔敏,片
大腹,"两,颗,枚"
井盐石胆,None
白薇,"g,克,两,钱,斤"
人乳拌,克
胡桃仁,g
芦巴子,"两,克"
虎帐,g
柴胡根,钱
刺力,g
生山楂,"克,g"
大胡麻,"克,斤,钱"
南谷精草,None
蟾酥,"钱,g,None,两,克,片"
清炙草,克
均莫刺破,None
黄片,两
白牵牛,"None,两"
古铜钱,枚
炒穿山甲,g
翘,g
五味子浸膏,毫升
杜蒺藜,None
海风藤,"g,两"
踯躅,两
炼令如膏,None
白寇仁,g
黄药子,"g,两,克"
香独活,克
只有,斤
焦大黄,g
红花,"分,None,-3g,克,g,升,钱,两,份,斤"
诃藜勒皮,克
凤尾草,"克,g,叶,石"
穿,None
甘草稍,g
苦竹叶,两
如尘无声,None
冬瓜子,"克,-60克,g,两半"
钟半同煎,None
羖羊角屑,两
制商陆,g
以胆制,钱
白杨皮,握
理中汤加肉桂,None
金龟莲,份
山苍子,g
藤梨根,g
萆藓,～15克
百茯苓,g
山羊血,分
广皮红,"钱,克"
候虫自吃饱,None
木棉花,g
三桠苦,g
生黄,g
生川军,克
青黛,"克,g,钱,None,分,两"
山茵陈叶,None
真沉香,钱
炒黄连,克
金线重楼,钱
生丝黄绢,尺
茅胆,两
牛油,合
雄大豆,两
鹤虱,"g,两"
无名异,"None,钱"
南参,克
炙葶苈,g
以刀刮取黑煤,None
陈吴萸,None
熟附方,g
清夏,"钱,g"
生血余,g
莪荗,两
泽兰叶,"None,g,斤半,两"
葱头,"None,根"
土虱,个
丁香皮,两
三七,"克,g,钱,None,两"
半夏末,钱
荜茇,"两,钱5分,g,None"
甜于术,钱
蛇床子,"g,克,两,分,两半,None,钱"
雄雀粪,分
生侧柏,克
麸炒黄色,克
白前,"g,两,两半,克"
矾,None
蒸豆烂,None
炮附子,"g,克"
黄花远志,g
掾子芽子在,None
怀生地,"两,两半"
豆蔻,"g,钱"
黍米,石
黄花,g
生鸡金,"g,石"
大蓟根,g
大苦参,g
苜蓿香,两
炙绵芪,g
槐角,"g,两,None,钱"
菊叶三七,g
独活,"克,钱,g,两,None,分,两半"
苘麻子,None
礜石,两
水银,"两,分,g,钱,None"
不麻舌为熟,None
南川芎,分
老鹤草,g
干金鳖,g
炙鸡内金,g
软滑石,两
石蚕,两
盐豉,None
生艾叶,None
薄公英,g
蜘蛛,枚
暑天则,None
鸡肉金,g
莲子汤,g
草决明,"克,g,两,None,两半,升"
棉花子炭,粒
芒硝,"g,石,None,克,两"
吴蓝子,合
切作片,None
羊蹄根,钱
胡枝子,g
和皮切,None
黑金银花,g
桃胶,"两,钱,None"
宫桂,g
常令药润,None
不破坚积,None
穿破石,g
灯心草,"束,厘,None,根,克,g,尺,分,把"
枣子入,块
淮通,g
淀粉,"kg,钱"
脲素,g
黑豆,"-30克,克,斤,g,升,两,None"
夏枯草,"两,克,g,None"
菖辅,g
纯苏叶,两
扁蓄草,石
好石菖蒲,None
制松香,斤
却于汤中炖,None
家苏梗,钱
母丁香,"None,个,g,两,钱,枚"
辨,None
羊毛脂,两
莲须,"克,g,None"
瓜蒌壳,"克,g"
生三棱,g
鹿茸,"g,克,两,两半,钱,分"
猪芩,g
生薏米,"钱,～30克,g,克"
干熟地黄,"None,两"
甘草半之,None
金钱草,"克,g,两,None,石,合,钱"
郁黄,g
泥泊金,g
硫磺,"g,None"
合欢花,钱
同生姜捣如泥堆,两
姜皮,"None,克,钱,g"
白丁香,"克,个,两半,钱"
薄片,None
鲤鱼头,个
炒微黄,None
烂捣,None
红豆蔻,g
炙香附,g
蛇胆汁,g
乌梢蛇头,None
榴草,g
可,两
蟾酥如大豆许,None
一方有琥珀,钱
马钱子,"份,g,两"
更将汁涂炙了,None
石韦,"g,两,克,None,分"
玉屑,两
石胆矾,两
上花,g
明雄,"g,两"
九香虫,g
再浸,None
米酒,"ml,克"
酸枣仁浸膏,毫升
用纸衬,None
川羌活,g
入雄黄,粒
硼砂,"g,分,钱,两,克"
槟榔粉,mg
刮去里外浮皮并虚软处令净,None
生山甲,片
枸杞子,"两,克,g,None,分,钱,斤,两半"
金顶砒,克
红曲,None
云母石,g
窑老,None
醋制香附,g
加入煅护甘石吸完为止,None
汗防己,g
黄柏,"克,千克,两,钱,至5钱,～15克,None,g,石,份,分,两5钱,斤"
半枝莲,"克,g,石"
决明,"g,分"
琥珀块,g
百草霜,None
雄猪油,斤
川中膝,g
臭牡丹,g
谷芽,"钱,g,克"
怀牛膝,"克,g"
酒浸一宿,"克,None"
黄柏净末,克
连皮茯苓,g
金缨子,g
当归片,g
酸醋炙黄,None
先煮,None
白矾灰,两
地扁蓄,g
尖双仁,"None,升,两,分"
每个切作,片
桑寄呈,g
火煅透,克
败龟,两
川萆,"克,g"
砂罐内醋煮极熟,None
绵耆,-4钱
人乳浸透,克
去黑炭弦子,斤
用好黄泥封固,None
为细末,None
生甘遂面,g
象皮,钱
酒浸,"None,两"
生姜汁,合
胥葙子,g
荷蒂,枚
鱼醒草,g
加牛膝焙,None
黄栝楼,两
枯萝卜,"两,g"
土炒当归,g
玄归,g
白艾,两
闪耀,g
莲心,"克,支,两,分"
生脑子,两
当归炭,g
山桔根,g
水杨酸,g
绿豆粉,两
五谷虫,"个,枚"
木馒头,g
山药,"斤,钱,None,g,两,克,～30克,石,分,寸,钱5分,两半"
鲫鱼,"个,条"
焦谷麦芽,g
黑花蛇,克
葱子,分
真紫苏,None
天竺黄,"两,克,g,分,钱"
炙桂枝,g
败鼓皮心,克
炒粳米,粒
车前草,"两4钱,克,None,g,石,握,升"
枪消,钱8分
桑椹子,"g,克"
鲜蒲公英,g
韶粉,两
漉出,None
羊肾,"具,双"
雌黄,"分,两"
石床,克
白茄根,None
绿萼梅,g
炒骨碎补,g
瓜藤,g
凌霄花,"两,分,克"
舒麻草,叶
炒王不留行l,g
汽油,两
炒丹参,g
翔羊粉,g
益母花,g
末石脂,g
枣膏,None
姜汁浸,"None,克"
余日,None
芝麻油,g
朴消,"克,None,钱"
海螵蛸,"两,g,枚"
鸡金,g
味并火煅,None
阔叶十大功劳,g
黄苓,"克,g,None"
韭白,克
雪梨,"只,片"
白玄明粉,钱
海蛤,"克,两,None"
重洗,None
紫苏茎叶,"g,克,两"
600,None
肉苁蓉,"克,g,None,斤,分,两,两半"
令焦,两
麦冬,"钱,克,钱5分,None,两,g,升,钱7分,两半,分,两1分,钱半"
益智子仁,None
焦枳壳,g
全蝎,"分,个,克,g,枚,两,只,钱,None,钱半"
生龙牡,g
煮,None
碧五散,g
生姜汁制,两
风化消,钱
好面曲,斤
穿山龙,g
葫芦壳,克
黑牵牛,"两,None,克,分"
以透为度,None
西麻黄,两
杜仲,"None,g,克,钱,两,分,斤,两半"
二芽,g
入三黄汤内,None
川槿皮,g
泽泻茯苓,g
苏合香,g
炒薏米,g
桑螵,钱半
制附子,"g,None"
蜂窠,克
连轺,克
白茯芩,克
破故子,"None,克,g,钱5分,两,钱,两半,斤"
痹藤,g
生桅子,千克
芙蓉叶,g
生车前仁,g
边翘,g
匾蓄,"克,g"
冬瓜皮,"g,克,钱,合,枚"
苏叶,"None,两,克,g,钱,钱5分,分,斤"
芒果核,个
令干,None
空肚草,None
荆皮,两
香附,"两,斤半,克,None,-10克,g,钱7分,钱,合,分,斤,两半,个"
日干或焙干,None
远志,"None,两,克,g,钱7分,两半,分,钱,钱5分"
净拭之,None
炒党参,g
如此入完,None
绿豆,克
瓜萎皮,g
南硼砂,钱
萆薢,"克,g,至5钱,None,石,两,分,两半,钱"
螺壳,分
鲜垂杨柳,None
莱菔子,"两,克,钱,g,分,None"
净者,None
一方,枚
橘饼,克
浮萍草,"克,g,钱,斤,两"
胡连,"分,克,g,钱,两,None"
丹砂末,钱
薄荷脑,"两,g"
味用麻布袋盛,None
乌韭,g
炒桅子,分
铁苋,g
仙茅,"g,克,None"
漏篮子,两
乘湿研,克
生附子,钱
花蕊石,"两,g"
淡竹叶,"None,克,g,石,升,分,两,握,钱"
刺猬皮,"枚,None,两"
鲜垂盆草,g
水牛角,"g,两"
干马齿苋,g
生柴胡,g
候冷,None
清甘草,g
食,None
黄芪,"-50克,克,钱,None,两,-3g,钱半,g,份,升,石,分,两半,钱5分,斤半"
%九里明,g
垂盆草,g
南沙参,"钱,g"
取皮,None
连皮大腹槟榔,枚
生薏苡仁,g
番降真香节,钱
去皴皮,None
土金钱草,g
蚖青,钱
麦子,两
用猪苓,分
翟麦,g
菟丝子炒杜仲,g
再浸三日,两
真磁石,两
乱发灰,克
生麻黄,g
每日易水,"None,两"
用米醋淬,None
活鲤鱼,"尾,g"
绞股蓝,g
牛胆南星,两
六月雪,"g,L"
川木香,g
上己菜,g
马目毒公,分
去枝,克
陈仓米,升
八珍汤加黄芩,分
肉豆蔻,"个,钱,克,None,g,两,分"
苍术炭,g
桃白皮,分
秦花,g
胖大海,g
牛藤,g
炒黑干姜,分
四君子汤加防风,None
用泥固济,None
日了,None
关木通,"g,None"
黄连粉,g
马齿苋,"克,g,份"
寒水石,"克,钱,g,两,None,分,两5钱,铢,斤"
桑络藤,两
绵纸垫铁锅内,None
陈广皮,g
菟丝子,"克,g,石,None,钱,两,两半,分,斤"
全蝎尾,个
甑内气猛,None
江子霜,两
炒荆芥,g
鲜满天星,g
大鲤鱼,个
生玳瑁,g
竹黄,None
鹭鸶兰,None
铁精,合
细切,升
火消,钱
木鳖仁,钱
活草子,分
白木耳,两
肥姜,分
野麻草,None
乌雄鸡,个
过坛龙,g
当归尾,"克,g,分,钱,两"
去滑,两
于地上出火毒,None
去翅,个
弹子大,None
五味子打碎,g
先煎地黄汁并酒,分
陈其芦,g
生莪术,g
生苡米,"钱,克,g"
车前子,"None,斤,克,g,钱,两,千克,钱半,石,两半,分"
入药用,克
葛根,"克,两,None,钱,g,斤,分,钱3分"
六蛐,g
银硝,g
重楼,g
胆矾,"克,钱,分"
大蒜,头
取净药,克
生三七粉,-5克
寸麦冬,克
童便炒香附,克
薜解,g
再用生姜自然汁搜成饼子,None
柿蒂,"g,钱5分,克,None"
恶实子,两
崩碗,g
炙没药,g
生首乌,"克,g"
珍珠末,"g,分,两"
鲜凤仙花,克
生梓白皮,克
鲤鱼,头
单糖浆,毫升
柳枝,"寸,两"
