雄黄,"g,分,克,钱,None,两,两半"
藏红花,g
楮白皮,两半
抗药,g
金银花提取物,g
烧生姜,None
香附米,两
火麻仁,"g,分,None,两,克"
橄榄核,钱
茄蒂,两
白茯苓刃克,None
硇砂,"克,钱,字,两,分,None"
豆大,None
蓝叶,握
云茯苓,g
吴茱萸,"克,None,两,g,钱5分,钱,合,钱半,分"
炒杭芍,g
木香,"钱7分,None,g,两,钱,克,分,两半,两1分,合"
大麦糵,两
山菇,g
土麻仁,两
黄皮果核,g
土元,"g,份"
铅霜,两
阳起石,"钱,None,克,两"
西河柳,克
硼酸,g
黄蜀葵叶,None
水飞过,两
细切,None
生姜汁炙,"分,两"
炒枸杞子,克
驼毛,分
生米壳,斤8两
防风,"克,g,两,None,分,钱,两半,钱半,两5钱,钱4分,钱5分,两1分"
钳出,None
同煮一日,None
浙母,g
罂粟,"钱,两,克"
黄毛耳草,g
干蓝叶,两
玄胡素,克
%冰片,g
厚朴花,g
生麦门冬,合
乌头尖,克
柴胡,"克,None,-20g,g,钱,两,两2钱,升,石,两16钱,钱半,两半,钱4分,分,钱5分"
加血竭,两
川牛膝,"钱,g,None,克"
辛荑,g
苏枋木,两
生西庄,两
川心连,g
虎肚,None
莳萝子,分
全,None
先煎,None
马前,None
沥青,"None,两"
大腹皮,"g,None,两,钱,克"
荷叶蒂,g
再酒润炒熟,克
土牛膝叶,份
京红粉,克
笔管草,None
埋至秋天,None
五灵脂膏,g
海桐皮,"分,None,两,克,g"
制附片,"g,None"
土当归,钱
草茶,两
鱼鳔,None
炒苍术,克
板蓝根,"g,None,克"
藿香,"两,钱,克,g,None,字,石"
入瓷器中慢火熬尽,None
生甘草,"克,两,g,钱,None,分"
粳米,"合,克,None,g"
葎草,g
苍耳芽,克
白杏仁,g
用麻黄,两
榧子,g
扁豆衣,g
收干,None
锦地罗,g
夜明砂,"分,None,两"
焦槟榔,g
好豉,升
枯明矾,g
石决明,"克,None,枚,两,g"
水飞蓟素,g
取虫生用,None
锉碎同炒,None
穿山甲,"克,g,None,钱,两"
苦参末,两
麦子,两
罂粟壳,"克,两,None"
熟干地黄,"两,None,克,两半"
饴糖,g
荠芥,g
净皮消,None
生杭芍,克
以芽带绿色为度,None
伏道艾,None
前仁,g
录,None
鬼针草,g
莲米,g
白槟榔,"克,两"
明雄黄,克
牧童,g
酒地,钱
五不留行,g
黑枣,个
炒黑香附米,g
红大戟,"钱7分,克,两,分"
萆乌,g
皂荚花,两
无黄芩,None
三七粉,"克,g"
辣蓼,g
礞石,"钱,两"
马勃,"g,克"
花摈榔,g
焊菜,g
樟脑面,钱
好灵砂,分
木贼,"克,g,None,两半,钱4分,钱,两,分"
味拌蒸,None
白滑石,None
北茴香,两
蕲蛇,"g,具,条,两"
细生地,"g,两,克"
小山楂,钱
量,None
明朱砂,克
白薇,"g,两,None"
头毛仔,斤
胡桃仁,两2钱
芦巴子,克
滴水成珠,None
黑浆胡,g
虎帐,g
刺力,"g,None"
生山楂,g
大胡麻,两
芒硝,"g,None,两,钱"
赤金,张
代赭五,g
上梅片,g
柴胡梢,克
白牵牛,两
真龙骨,None
炒穿山甲,g
瓷瓶内封,None
翘,g
萹蓄草,g
田三七粉,g
杜蒺藜,两
海风藤,"g,两"
待稍冷,None
樗白皮,两
青陈皮,g
黄药子,"g,两"
三七面,g
红花,"克,分,g,None,钱,两"
秤,两
凤尾草,"克,g"
将鲤去鳞,None
荗,两
冬瓜皮,个
欢,g
秦切,克
紫草皮,克
山丹花蕊,克
净金灯,斤
野狐皮,枚
藤梨根,g
珍珠,"g,两,钱,分"
杭菊花,克
葛花,克
面曲,两
木棉花,g
合,None
生川军,g
胡桐泪,两
同淹,None
同炒焦色,None
牡蛎,"克,None,g,两,钱,铢"
四,两
白果,"g,钱,个"
巴蕺天,g
焦冬术,g
薄荷脑,"g,None"
干虎舌,两
升麻梢,克
飞过枯矾,两
鹤虱,"g,None,克,分"
取起筛盛,None
大麦面,两
入甘石内,None
真麻油,斤4两
绿绒蒿,g
碗盛碟盖,None
鲜兖州卷柏,g
泽兰叶,"g,两,克,None"
葱头,两
浸入童便内,None
鲫鱼,"头,尾"
丁香皮,"两,克"
三七,"g,克"
荜茇,"分,两,None"
黑种草籽,g
出火毒,None
桑上寄生,两
枳椇子,克
莲房,"g,None"
半枝莲,"克,g"
炒术,None
菲白,g
大虾蟆,只
柏油,两5钱
辣桂,"两,分,克"
大蓟根,两
炒当时,g
煮极熟,None
活性炭,g
苔乌,g
鸡子壳,None
海藻,"克,None,钱,g,匙,两"
尖槟榔,分
水银,"克,两,None,钱"
川巴戟,"两,克"
乌鱼骨,"两,克"
绿铜,g
吴萸连,克
%血竭,g
蜘蛛,个
三百个,None
草决明,"克,g,两,合,分"
驹毛,分
大南星,分
茵陈浸膏,g
白鲜皮两半,None
鼠尾黄芩,克
栝蒌皮,g
钟乳石,"两半,None,g,两"
砂糖或细盐,None
