雄黄,"钱,克,g,两"
泽兰,g
焦山栀,g
象皮,两
大腹,枚
地锦草,两
芒硝,g
用醇酿酒,份
鲜生地黄汁,升
杜蒺藜,None
红娘子,只
草龙胆,克
麝香,"克,None,字,分,两,钱,g,厘"
五谷虫,"克,枚,两"
紫梗,g
通草,"g,钱"
草乌,"两,个,钱半,克"
山药,"克,g,None,钱,两,斤"
飞青黛,钱
蛇床子,g
天竺黄,"g,钱5分"
车前草,"克,g"
桑椹子,g
黑豆,"None,两,粒,升"
青香藤,g
"炙
甘草",g
姜皮,"g,两"
川椒同炒黄,碗
马钱子,"g,克"
五味子,"g,两,分,None,钱"
制没药,克
白豆蔻仁,克
麻黄根,两
慢火煨熟,None
广木香,"钱,g"
用茴香净,份
败鼓皮心,克
朴消,"克,两"
海螵蛸,"文,g"
铅粉,"钱,两,两半"
小麦面,g
黄苓,g
西红花,g
羊齿,分
牛蒡子,"None,克,g,两半,两,钱"
紫苏茎叶,两
泽泻,"两,钱,None,克,g,钱半"
肉苁蓉,"g,None,分,钱,两"
麦冬,"两,克,None,g,钱,两半"
去裙,None
鹿角粉,g
银朱,两
青槐枝百段,None
涂生姜汁,"None,两"
金针菜,g
黑牵牛,两
人参芦钱半,None
杜仲,"两,None,钱,g,钱半"
生首乌,克
本苓,g
醋,碗
川甘松,两
牛转草,斤
取净末,两
次下苍术,碗
破故子,"g,两,钱半,克"
公丁香,"g,None,两,钱,-7粒,分"
同苍术炒焦黄色为度,碗
天冬,"None,g,克,两,钱"
羚羊角屑,"两,克"
苏叶,"克,石,g"
壳砂,两5钱
香附,"克,g,None,两,钱,斤"
苏叶梗,g
远志,"两,g,分,克,钱"
瓜蒌,"钱,g,None"
酒炒栀子,g
投入水中,None
萆薢,"g,两,None"
莱菔子,"None,g,升,分,钱"
旱连草,g
鸡冠花,"g,两"
漏芦,"克,g,两半"
胡连,"None,两5钱,千克,两6钱,克,g,两"
三奈,两
炮甲片,克
芜荑,"两5钱,克,None,两"
生槐角,kg
刺猬皮,None
水牛角,g
尖槟榔,钱5分
黄芪,"None,g,两,分,钱,钱半,克,两半,两1分"
艾叶,"钱,两"
糯稻根,"g,克"
莲子,"g,分,两"
去白矾,None
竹沥夏,g
路路通,g
川楝子,"g,两"
柏子仁,"g,克,两"
槐米末,钱
薄荷,"None,分,克,g,两"
用川黄连,钱
全蝎,"g,分,钱,两,钱半,枚,None,克"
乱发灰,两
马牙消,"克,分"
米醋浸一宿,克
藁本,两
炙内金,g
白茅根,"克,钱,g,握"
伸筋草,g
瓜蒌仁,"克,g,钱"
肉桂,"None,两,分,克,g,钱,钱半,两半,-2钱"
煅中白,钱
巴戟天,两
地龙,"克,g,两,条"
莽草,两
甘菊花,"克,两,钱"
苏木,"g,钱,两"
瓜萎仁,钱
肉豆蔻,"克,个,两,g,None,枚"
马屁勃,两
蔓荆子,"克,g,两"
酒黄芩,g
川乌,"两,钱半,克"
山豆根,g
草决,克
琐阳,钱
没药,"None,克,g,两,分,钱,钱5分"
关木通,g
水调作剂,None
蟾酥,钱
菟丝子,"克,g,两,None"
炒荆芥,钱
五倍子,"克,两,分"
生白芍,"钱,g"
生芡实,克
滑石地肤子,克
火消,克
伏龙肝,"两半,None,两"
当归尾,g
生干地黄,"两,两半,两1分"
阿魏,"克,钱"
附子,"两,g,克,分,None,钱,钱半,两半"
苍术,"克,None,g,斤,两,钱"
草,g
红曲,千克
葛根,"None,g,钱"
益母草,"克,g,None,斤,两,升"
五灵脂,"g,两,克,钱"
杏仁,"None,g,分,两半,粒,枚,两"
重楼,"g,克"
役药,克
炒黄,None
炒令干,碗
真新绛钱半,None
连皮桃仁,克
苦楝子,g
盛瓷盒子内,None
赤小豆,"克,g"
松香,两
黄芩,"None,克,分,两,g,千克,钱,钱半,两5钱,两半"
三棱,"克,千克,钱"
土大黄,None
雌黄,两
用人乳汁拌蒸,None
秦艽,"g,None,两,钱半"
夜明沙,g
露蜂房,"g,两,克"
瓜萎,g
焦三仙,克
珍珠母,g
舶上茴香,两
犀角屑,克
麦门冬汁,升
栗间,两
川羌,"None,分,克,g,钱,两,斤,两7钱"
犀角,"克,两"
赤勺,g
皂荚水浸,None
分作四处,碗
天麻子,两
表里皆燥为度,钱5分
蜣螂,钱
瓜蒌皮,g
湿纸裹,None
千年石灰,None
酸石榴皮,分
飞辰砂,克
新布裹,克
射干,"克,g,分,None"
紫花,g
山茵陈,None
乳香,"克,钱,两,g,None,钱5分"
白蔹,"两,分"
结顶掣腰干葫芦,两
血余炭,"g,两"
紫苏,"g,分,两,None"
甜百部,两
故纸,钱
浙贝,"克,g"
干蝎,"两,分"
猪苓,"g,钱,两,钱5分,克"
雄鼠粪,克
青娘子,只
煅石决明,g
