掺在蚰蜒身上,None
了哥王,g
白豆菠仁,克
锉细,None
香薷,"g,两"
鳖甲,"两,克,两5钱,g"
一百二,两
李子仁,两
苎麻根,两
广郁金,g
牛胆星,两
顺横纹切作片子,None
薅田藨,None
骨碎补,"None,两,两5钱,分,g"
其血珀,钱
白石英,两1分
慢火炒,None
熟地,"两,～21克,克,钱,g,None,千克"
瓜壳,g
生栀子,斤4两
大豆卷,g
号,"g,None"
酸枣仁,"两,钱,克,分,g"
白狗肺,具
建曲,g
蜜炙白术,g
炙令黄,None
朝脑,None
切时勿用水泡,None
煎沸取起,None
盐,"克,斤,两,None,合"
第,None
并莨菪子末,None
枳亮,两2钱
公丁香,"克,钱,None,分,两,g,枚,粒,个,两5钱"
续入上好神曲细末,克
小麦,两
蒿本,两
真藿香,两
乳没,克
灶心黄土,g
赤石脂,"克,两,钱半,None,g,分,钱"
龙胆草,"g,None,两,钱"
炒谷麦芽,g
生姜制,None
生胡椒,粒
片黄芩,None
鲜蛤蟆,个
山萸肉,"两,钱,克,g,分"
白扁豆,"两,克,None,～9克,g"
大金箔,页
天葵子,g
甘松,"钱,克,两,g,None,分"
干白术,g
晒干刮下,None
生于术,钱
干蝎十,个
佩兰,g
硝石,g
仙鹤草,g
玄明粉,"钱,None,g"
麻叶,None
紫草,"分,克,g,None,钱"
石决明,"g,None,克,两"
白花蛇舌草,"g,石"
金钱白花蛇,条
穿山甲,"两,g,分,钱5分,钱,克"
白泡参,g
人参,"钱,None,克,两,分,～15克,钱5分,两半,～9克,～6克,g,千克,-2钱"
生川乌,g
用醋,升
白术炭,g
四十,斤
稀莶草,g
乌梢蛇,"两,克,g,条,None"
蕲蛇,"两,g,条,None"
防已,None
数块,None
金黄散,g
钟乳粉,两
绵黄耆,None
同煮,None
法曲,合
旋覆花,"g,两,分,克"
羊石,对
羖羊角,两
莽草,"两,分"
海蛤粉,"石,克"
炒陈艾,钱
黄酒,"ml,g,两"
炙黄芪,g
茵陈蒿,"g,两,克"
酸枣,克
昼夜,None
苦参,"g,石,克,两,两5钱,None"
六,两
黄甘菊,g
子丁香,两
炉甘石末,斤
蔓荆子,"克,None,两"
铅白霜,钱
大风子,"两,粒,两5钱"
狐肝,具
大南枣,枚
麦芽,"None,两,克,g,钱"
入地金牛,g
谷精草,"钱5分,None"
前仁,钱
浸于凉水内,None
猥皮,分
远志皮,两
使君子肉,钱
捶微破,None
赤芍,"克,g,None,钱半,两,钱5分,分,两5钱,两半,钱"
大田鸡,只
乌附片,克
陈墨,锭
陈皮,"钱,None,克,两,两2钱,g,分,钱5分,两5钱,斤,钱半,斤半"
狗胆,个
于银石器内以河水煮,None
枸杞酸钠,g
皂角,"None,g,斤,两5钱,两,分"
枳壳,"None,克,两,g,钱,分,两5钱,钱5分"
阿胶,"两5钱,g,两,两6钱,克,None,千克"
蚰蜒,条
浙苓皮,钱
净洗,"None,合"
铜绿,"钱,钱2分,None"
敲碎,None
煅,None
猫爪草,g
赤足蜈蚣,条
欢皮,g
真蕲蛇,寸
小甘草,None
草果肉,个
二斗,升
生乌头,个
蜂蜡,"两,克"
炒远志,克
樟柳根,两
千姜,克
炒香附,"g,克"
淡豆豉,"克,g,None,升"
干丝瓜络,钱
白雌鸡,只
焙象牙屑,钱
如次,None
苦地丁,g
铁落花,两
醋淬,None
大茴香,两
硇砂,"两,钱,分,克"
大青叶,"两,g,None"
慢火煮干,None
铺头盖底按实,None
白莲蕊,两
味用水,升
丝瓜汁,ml
伏火灵砂,分
银箔,片
不用生姜,None
淫羊藿,"两,g,克"
土茯苓,"克,g"
研令极细,None
白豆蔻仁,"两,克"
飞丹,两
金沸草,None
橘子,克
煎掠去沫,两
榆枝,钱
多年老石灰,斤
荔枝核,两
核桃油,ml
茱萸,None
川姜,克
青皮,"克,钱,两,None,分,两半,斤,g,钱5分,两5钱,铢"
冰糖,"g,两"
葱头,根
同半夏先用水浸三日,克
不犯铁器,None
大者,None
涂酥,None
水银,"克,钱,两,分"
蜡面茶,分
大附子,"两,None,只"
羊肉,"斤,克,None,g"
以白附子代之,钱
王不留行,"g,两"
广荜拔,g
辛夷花,"g,两"
枸杞根皮,升
金箔,"片,帖"
蜂蜜,"None,g,斤,克"
水蛭,g
黄腊,克
樟丹,"钱,分,两,克,None"
蒸熟,"克,None"
麻黄,"～9克,g,克,两,钱,分,两半,None,两5钱,两3分"
酒浸,"None,两"
慢火炙了,None
石亭脂,两
参,g
寒食面,钱半
北柴胡,g
熊胆,"钱,克"
葫芦巴,两
伏时,None
与姜同炒,None
制附子,"-5g,克,g"
薤白,"克,g,石"
别研,None
芦根,"g,两"
白矾,"两,None,钱,g,分,克,钱5分,钱半"
拭去碗内汁,None
红糖,"克,None,～6克"
炮干姜,g
小蓟,g
石斛,"两,g,None,克,分,两半,钱"
砒,钱
珍珠母,g
用消石,两
四物,None
八中黄,g
拌炒,克
鸡蛋,"个,只"
蛋清,ml
土元,"g,克"
白及面,钱
制半夏,"克,g"
瓷碗盖,None
海狗鞭,两
去泥土头翅足,两
木贼,"两,None,克"
生阿胶,"钱,斤"
当归身,"克,两"
生乌麻油半鸡子许,None
毕澄茄,"分,克,两"
大豆许,None
石榴,g
母鸭,只
千金子霜,克
夜交藤,g
桑白根皮,None
炮裂,None
同焙干,None
向日葵扞芯,g
鸡苏叶,克
红花,"g,克,两,钱,两5钱,None,分"
半复,克
炮姜片,g
苦楝根,两
菜油,None
蓍草,g
腊肉骨头,钱
锉半寸长,None
芦荟,"两,克,钱,分"
白芥子,"g,钱"
煨肉豆蔻,g
姜,片
元胡,"两6钱,两5钱,两,克,g,None,分"
煮半日,None
扎尔敏,片
砂仁,"None,分,钱,克,两,钱半,枚,g,个,两9钱,～7枚"
大枫子肉,个
炒建曲,克
核桃仁,钱
党参,"g,克,钱半,两,None,钱"
生草乌,"g,两5钱"
苁蓉,"两,None,克,钱"
枇杷叶,"两,None,g,片,克"
硫黄,"None,两,分,克,两半,钱,两8钱"
熟枣肉,克
鬼箭羽,"两半,两"
松节,钱
苏梗,g
诃皮,钱
益智仁,"钱,两,None,克,两5钱,千克,g,分"
干葛根,None
木鳖子,"克,个,两,None,钱"
鸦片,钱
真麝香,钱
煮令干,None
橘叶,g
耆草,g
熟水,斗
刮去皴皮,None
瓜儿血竭,钱
代赭,两
羌活鱼,g
瓜蒌,"枚,g,两,分,个"
