川栋子,"g,钱5分"
生当归,钱
紫葳根,两
临用切片,None
八角莲,g
捣碎细研,None
鲜兖州卷柏,g
蟾灰,钱
生马钱子,"斤4两,克"
提净牙消,分
白前,"钱,g,克,两,分"
炮附子,g
角焙燥成霜,None
豆蔻,"克,两"
黄花,g
辣桂,"克,钱"
同煎令香熟,两
和作饼,None
藓皮,None
海藻,"kg,克,None,g,重,石,两,两半"
礜石,两
盐绿,"钱,两"
紫车前,None
老鹤草,g
强的松,g
青果核,石
石蚕,分
鹤虱草,"None,克"
又以好酒入釜中添深,None
紫金锭,克
又生巴豆干称,分
莲子汤,g
银随多少,None
归脾汤加朱砂,None
姜活,g
实黄芩,克
桃胶,"两,分"
地鳖虫,"份,g"
干铁苋菜,g
穿破石,g
灯心草,"None,寸,片,g,根,克,钱,茎,厘"
嫩苏梗,钱
葶苈子,"g,钱,None,两,克,两半,两1分,分"
入巴豆,粒
力子,"None,钱"
大栗间,两6钱
好酒内淬,None
母丁香,"分,None,两,克,个"
雄蚕蛾,"分,None,两"
用巴豆,"枚,个"
瓜蒌壳,g
羊毛脂,"两,g"
猪芩,g
酒精,"g,ml"
茅草,g
制蒺藜,g
硫磺,"None,g"
山桅子,g
羊肾,具
东洋参,钱
姜责,g
焦黑无用,None
鲜乌踏麻,g
木黄连,g
金井阿胶,克
生贝母,克
金钱花,g
大羊脊骨,None
桃丹,g
四叶参,g
石韦,"钱,克,g,两,分"
佛手相,g
辛荑,"克,g"
猪牙皂角,"钱,None,两,挺,分,克"
溪黄草,g
川羌活,"None,克,斤"
牛薏子,升
硼砂,"None,分,克,钱,g,钱5分,两"
辅料,None
薄荷油,"g,None"
炭委,钱
干牛胆,两
云母石,None
橘络,g
黄柏,"克,g,None,两,钱,份,石,分,钱5分,两半,斤"
凌霄花,"钱,～15克,至5钱,克,两,g,None"
五信子,g
栝萎皮,g
紫葛,两半
龙涎香,钱
棉花子仁,斤
羊子肝,两
薄荷素油,"None,g"
构叶,g
炭火内烧红,None
有锦纹者,None
生芩,两
肚杂洗净人原汤熬膏,克
头尖,g
土茯芩,克
曲,两
绵耆,-4钱
梨汁,None
清炙枇杷叶,g
猪油,None
制何首乌,g
热地黄,克
生三棱,g
捶碎,None
刺毛窠,两
哺胎鸡蛋壳,钱
熟地费,克
生脑子,两
蚯蚓泥,钱7分
麻黄,"None,g,克,钱,两,石,分,两半,斤,两1分,钱半,铢"
雄鹅胆,个
盐黄柏,克
葛根面,None
蛇床子,"g,None,克,两,两半,分,钱"
枣膏,分
兔头灰,分
滇紫草,None
大当归,"钱,两"
车前草,"两4钱,克,g,石,None"
桑椹子,"g,克,斤"
鲜蒲公英,克
马蔺根,分
乌沉香,分
鹿茸丸,None
壮人头发,两
人牙,None
金刚头,g
江南子,g
草梢,分
大半夏,None
始蚧,对
土圈儿根,g
一支箭,g
上川连,None
鸡肉,None
明天麻香,g
鹳骨,两
芝麻油,"斤,g"
铅粉,"克,两,g,分,钱,None"
五倍子末,None
黄苓,"g,None"
生犀,两
干姜末,None
栀子花,g
水牛角浓缩份,None
海蛤,"分,两,克"
再入红矾,两
生香附,g
食顷令脆,None
麦冬,"g,None,分,钱,两,克,钱半,两5钱,钱5分,石,两半,斤,升,两5分"
干山芋,两
入固济瓷瓶内,None
全蝎,"两,钱,克,g,只,枚,个,条,分,None,钱5分,对"
珍珠,"g,克,分,钱,None,两"
糯杆,g
拌溲作饼子,None
白障丹,g
穿山龙,g
珍珠层粉,g
炒桔梗,克
苯甲酸钠,g
红滕,g
盐炒令黄,None
垂柳枝,两
鸡苏,"两半,两"
破故子,"g,两,克,分,None,钱"
食盐,"两,克,g,None"
再用雪水煮,两
芙蓉叶,"两,None,克,个"
鲜旱莲草,g
甘草.,None
草寇仁,g
猪肾,个
紫苏茎叶,"克,两,两半,分,两1分"
远志,"钱,克,g,None,钱5分,两,分,两半,钱半"
地薄荷,None
绿豆,"两,克,升,None,分,g,-7粒,粒,钱"
莱菔子,"钱,g,None,千克,撮,克,两,两半"
百草霜半匙,None
附子两枚,枚
用童便浸,None
皂荚子仁,"个,两"
生木鳖,克
待温浓时再兑,None
白云苓,克
金牙石,钱半
磨极细,None
用炭火烧存性,克
生附子,"g,两"
U草,None
刺猬皮,"两,克,枚,钱"
鲜垂盆草,g
水牛角,"g,克,None"
羯羊肾,对
芡粉,None
炙乳没,"None,钱"
红糖,"g,None"
生绿豆,g
制蚤休,合
垂盆草,g
南沙参,"克,g,千克,两"
取皮,克
太乙玉枢丹,锭
不用汁,None
生薏苡仁,g
真甘草末,g
日俱可采,None
黎芦,None
麻黄根末,两
陈米醋,ml
炙甘,分
乱发灰,"两,克"
糯稻根,石
用盐泥固济,None
绞股蓝,g
紫草根,"钱,克,～15克,至5钱,g"
生黄精,g
炮干姜,"克,g"
肉豆蔻,"g,钱,克,两,枚,个,颗,分,钱半,None"
化匀,None
蔗浆,None
阿魏,"分,两,钱,None"
挂金灯,"克,g"
捶微破,None
杏仁炭,两
关木通,g
寒水石,"None,钱,两,克,g,斤,分"
加甑,None
菟丝子,"克,g,None,两半,两,钱,斤,两1分"
怀熟地黄,"两,克"
川附子,钱
捣成饼,两
草茶,两
用生姜,斤
白木耳,g
蒸熟,None
细切之,钱
去滑,两
钞纸,张
白凤仙子,粒
家贝母,g
陈其芦,g
乳香粉,"两,克"
