鹤虱,两
如少,None
陈吴萸,None
臭黄,两
用酒,升
牡荆实,"两,克"
葱头,根
生甘遂,g
三七,g
生马钱子,克
只拣何首乌入在清冷水中浸少时,None
蛇蜕,条
白前,"克,千克,g,两"
杏仁霜,None
怀生地,None
豆蔻,"枚,g"
牙硝,两
辣桂,分
以酽醋,None
梅花,None
槐角,"g,两,None,钱"
白头翁,g
海藻,"g,克,两"
尖槟榔,两5钱
紫车前,None
乌鱼骨,"铢,两"
昼夜晒干,None
白竭粉,g
陈麻黄,分
刮细者,None
母姜,升
甘草浸膏,g
用竹刀子刮去黑皮及两面浮沫令净,None
地鳖虫,g
不破坚积,None
酒川芎,克
灯心草,"分,茎,g"
掘地作坑子,None
艾绒炭,g
淀粉,钱半
白纳八,两
陈木瓜,克
葶苈子,"克,两,钱,None,g,分"
只取中间粗者,None
大梅片,钱
制松香,斤
母丁香,"个,None"
盐泥固,None
莲须,两
生薏米,～30克
金钱草,g
硫磺,g
姜皮,"g,None"
白丁香,"钱,粒"
宣泽泻,None
苍术末,None
蔓陀罗子,两
并作小块,克
焦桅子,g
以竹刀削去底,None
四叶参,g
炒砂仁,g
接骨仙桃草,g
猪板油,克
麸炒黄,两
米酒,克
苜蓿子,g
日端午采收,None
荷叶炭,斤
硼砂,"g,克,两,钱,分,None"
附子,"g,分,两,克,枚,钱,～6克,钱5分,None"
生山甲,克
荆介穗,克
橘络,"斤8两,g"
柳絮,None
黄柏,"None,g,两,克,钱,两半,分,～15克"
半枝莲,g
钩藤皮,两1分
针穿,None
百草霜,"None,两"
禽胆粉,g
臭牡丹,g
谷芽,g
怀牛膝,g
天将壳,g
羊子肝,"None,克"
川贝末,g
乌贼鱼骨,两
曲,两
五加皮,"g,两,克,钱,None"
饴糖,"两,斤"
芋艿丸,g
生姜汁,"合,-2盏,滴"
白砂蜜,-3盏
莲心,两
独沽,两
枸杞子,"g,None,克,两,钱"
绿豆粉,g
五谷虫,两
山药,"g,克,两,钱,两5钱,分,～30克"
蛇床子,"克,g,两,钱"
火尽为度,克
厚朴,"None,克,g,两,分,钱,斤"
水化拌令得所,None
车前草,"g,克"
桑椹子,"g,None"
鲜蒲公英,g
乌沉香,钱
漉出,None
蟾酥,钱
凌霄花,克
炙粟壳,g
有锦纹者,None
秋乌头,枚
先用米泔浸,None
川当归,"两,None"
去毒,钱
参,None
姜汁浸,None
海螵蛸,"g,两"
铅粉,"两,钱,None"
黄苓,"g,None"
生犀,两半
山萸,两半
故纸,None
梗,斤
白薇,"克,两,g"
灸白部,g
葫芦巴,两
全蝎,"g,克,钱,两半,None,分,个,两"
酒炒苦参,分
面裹煨熟,两
以麻缠,None
麻黄粉,g
鹿角霜,两
穿山龙,g
新罗参,两2钱
黑牵牛,"None,克,分,两"
依前入瓶子内烧食倾,None
杜仲,"None,两,g,钱,克"
面裹烧,个
泽泻茯苓,g
虎爪,两
制附子,g
淮生地,None
破故子,"g,两,克,None"
食盐,两
芙蓉叶,None
鱼古,g
冬瓜皮,g
苏叶,"g,两,克,None,钱"
地黄,"斤,None"
來菔,g
香附,"克,g,钱,分,斤,None,斤半,两"
远志,"g,None,两,克,钱,钱半,石"
火麻仁,"g,两,升,合"
绿豆,g
萆薢,"两,g,分,克,None,钱半"
莱菔子,"克,g,两,None"
一方,枚
漏芦,"两,None,g"
胡连,"两,钱,钱半,分"
麝香半字,None
上锉细,None
三奈,两
炮甲片,g
仙茅,"钱,g"
花蕊石,斤
水牛角,None
麦冬,"g,克,None,两,钱,两3钱,分,两半,钱半"
黄芪,"克,g,两,钱,None,两半,分,钱5分"
后切,两
广藿香,g
南沙参,"克,g"
陈芥菜卤,瓢
淬黄连汁内,None
乱发灰,两
玉霜,两3钱
桑皮叶,钱
去汗,None
木香,"g,None,钱,克,两,分,钱5分,两半,钱半"
牛胆南星,分
苯甲酸,钱8分
寄奴,钱
肉豆蔻,"个,两,双,分,g"
足同煮,None
酒黄芩,g
用童子小便浸,None
本无白术,None
李,茎
马齿苋,"g,None"
寒水石,"两,钱,两半,分"
水飞,"分,None"
南芎,钱
菟丝子,"g,None,两,克,钱半"
分为,贴
煅瓦楞子,g
官桂心,分
生大豆,升
炒吴茱萸,g
炙柴胡,g
如年少,None
北柴胡,两
细切之,钱
败龟甲,两
当归尾,"克,g,钱"
甘草末,克
浸一宿,None
射干片,g
阿魏,"分,两"
