鸡子,枚
腹蛇,钱
牛蒡根,g
当归,"克,两,钱,g,None,～6克,两半,分,钱5分"
地锦草,g
芒硝,g
白茯神,钱半
枸杞子,"None,克,两,钱"
麻黄,"克,g,两,分,钱"
赤白苓,克
通草,"g,两"
草乌,"g,None,克,两"
生山药,g
木棉花,g
天竺黄,"两,分"
炒粳米,粒
车前草,g
冰片等,None
黑豆,粒
蓖麻子,枚
佛茄花,None
浙贝,g
侧柏叶,"两5钱,None"
马钱子,g
五味子,"克,g,个,钱,None"
萼,克
草果,"个,钱,克"
麻黄根,g
广木香,"两,钱,克,g"
川古勇连,两
川当归,克
海螵蛸,g
土炒白术,g
铅粉,"两,斤"
紫河车,两
炒五味子,g
牛蒡子,"克,g,钱"
紫苏茎叶,两
泽泻,"两,钱,None,克,g,分"
肉苁蓉,"None,两,g"
麸皮,g
骨碎补,"两,钱"
麦冬,"两,钱,g,分,None,克"
全蝎,"枚,两,None,g"
荷叶,g
清夏,钱
椿皮炭,钱
鲫鱼大者,条
用山黄土拌,克
川黄柏,g
黑牵牛,"None,g"
子黄柏,g
杜仲,"None,g,克,钱半"
生首乌,g
萆解,g
干荷叶,None
醋石榴皮,两
破故子,"None,g,克,尺,两"
食盐,"None,两"
厚朴姜汁炒,g
天冬,"两,g,克"
冬瓜皮,g
苏叶,"两,克,g"
麦芽,"克,None,两,钱,g"
地黄,两
山揸,克
香附,"两,None,克,g,钱半"
石榴皮,"克,钱,None"
远志,"两,钱半,g,分,克,钱"
炒党参,g
炒蒲黄,g
萆薢,两
莱菔子,"两,g,None,克"
如少,None
浮萍草,g
胡连,"两,g"
炙白术,g
西甘石,两
炒芥穗,g
芜荑,"两,克,分"
入少陈曲末同煎成膏,None
淡附片,g
独活白芷,克
狼牙,分
黄芪,"克,两,钱,g,None,分"
桃仁,"枚,g,None,钱,克,两"
鹿角片,g
鹿角,钱
莲子,"克,g,两,None"
路路通,g
川楝子,"克,None,g,两"
柏子仁,"两,克"
葱白,"None,茎,个,根"
薄荷,"两,克,g,None"
诃子,"g,克,两,None"
平胃散加神曲,None
乱发灰,两半
马牙消,"分,None"
藁本,"克,None,钱"
炙内金,g
夏一日,克
肉豆蔻去由,g
木香,"克,两,钱,g,None,分,钱5分"
蔓荆,分
肉桂,"克,g,None,钱,分,两半,两,两2钱"
炒白盐,钱
巴戟天,"g,None,两"
地龙,"g,None,两"
甘菊花,"两,None,克"
肉豆蔻,"克,个,钱,None,枚,g,分,两半"
蔓荆子,"克,钱,g"
酒黄芩,"g,两"
阿魏,两
桔梗,"克,两,钱,g,None,升,分"
没药,"g,两,克"
马齿苋,"g,None,两"
寒水石,"钱,克,g"
西洋参,g
双花炭,钱
菟丝子,"None,g,两"
怀熟地黄,两
鸡肶胵,枚
五倍子,g
青石,g
生白芍,g
老松香,斤
炒吴茱萸,g
辽五味子,两
当归尾,克
旋覆,分
生干地黄,"两,克"
附子,"克,None,两,～150克,g,钱,枚"
常山,两
车前子,"两,钱,None,g,升,分"
葛根,"克,两,g,石,None,钱半,钱"
指叶,g
杏仁,"两,g,分,None,枚,钱2分,克"
重楼,g
雄鼠腰子补肾,付
黑牵牛头,两半
榴根皮,g
鲜辣蓼,g
苦参片,g
奏皮,g
赤小豆,"两,克,None,g"
南枣,钱
黄芩,"两,g,钱,克,None,分,两半,钱半"
三棱,"两,g"
黄连末,克
秦艽,"两,分,克"
附片,g
生芍,钱
生姜汁炙,两
去筋膜,克
舶上茴香,两
绢,None
犀角屑,两
紫石英,None
川羌,"钱,克,g,None,两"
犀角,"分,钱"
全青蒿,克
白豆蔻,"钱,None,g,克"
木壳,g
三故纸,克
枣肉,"克,g"
生冬术,克
蛇蜕,"None,两"
川椒炭,g
瓜蒌皮,g
切小块,None
鲜青蒿,g
酸石榴皮,"克,两"
犀角尖,None
射干,g
干胭脂,克
乳香,"g,两,克"
白蔹,"分,两"
面姜,两
贯众,"分,g"
于银器中慢火熬成膏,None
生蜈蚣,g
飞明雄,g
干蝎,两
猪苓,"两,钱,None,克,g"
山植,克
小葱,g
北沙参,"g,克"
白者佳,None
黄连,"克,两,g,两5钱,钱,石,None,两1分,分,钱半"
藿香叶,"克,None"
冬葵子,"两,克"
斑蝥,枚
炒车前子,g
茯神,"钱,两,分,克,g"
匹,None
甘枸杞子,斤
煨肉果,g
露蜂房,两
煨广木香,g
捣碎,None
高良姜,"克,g"
鱼腥草,g
山栀子仁,两
诃子皮,克
巴豆,"克,None,个"
