雄黄,"g,None,钱,两"
拣,None
白鲜皮,g
夏月逐日换水,None
锡磷脂,两
苏梗,"g,两,钱5分"
益智仁,"克,两,None"
白槟榔,两
木鳖子,"两,个,钱"
嫩常山,钱半
丝瓜络,g
赤苓,"两,钱,分"
红大戟,"两,None,g"
川芎I,g
生延胡,两
柱香久,None
净碗内浸,None
刮去皴皮,None
代赭,g
醋延胡索,g
木贼,"两,g,None"
苦丁茶,g
瓜蒌,"两,g"
炒杜仲,g
桂枝,"g,石,None,钱,钱半"
甘松,"g,钱"
蕲蛇,"None,两"
黄片,两
苍耳头,克
量,None
小茴香,"钱,两,分,克,g,两半,None"
明朱砂,钱
白薇,"克,g"
鸡肠,具
粉干葛,钱
槟榔,"两,克,g,分,钱,None,两半"
生山楂,"克,g"
大胡麻,两
蟾酥,"分,钱"
总称匀分,None
金蝉花,只
白牵牛,两
黄芩,"两,克,分,钱,g,None"
寒食,两
牛子,克
将药放在上,None
龙齿,"None,克,g,两"
藁木,g
猪瘦肉,克
黄牛角腮,分
山栀子,g
生龙齿,g
红花,"两6钱,克,两,g,None,钱"
人工牛黄,g
南硼砂,两
野菊花,"g,克"
尤齿,g
大甘草,钱
桂圆肉,None
葱汁,None
姜黄,"g,克,两"
辰麦冬,g
石南,两
望月砂,两
密陀僧,两
干即入酒中浸,None
海金砂,g
双仁,克
葛花,g
青礞石,g
生川军,"克,g"
青黛,"钱,g,钱半,克"
牛骨髓,g
牡蛎,"克,g,两,None"
白果,g
瞿麦,"分,g"
白凤仙花,None
干漆,"两,钱"
=代茶,None
鹤虱,None
雄黄末,g
生明没药,钱
乌药,"两,g,石,克,分,钱"
马料豆,两
广砂仁,g
牡蛎粉,克
广狗肾脏,g
地榆,"g,None,两"
山药,"g,两,克,千克,分,升,钱"
黑栀,钱
法夏,g
鬼臼,克
三七,g
真牛黄,钱
胡麻油,合
棕榈,两
牛李仁,两
止痉散,克
白前,两半
沉香片,g
川木通,"钱,两,g,分,克,None,两半"
怀生地,钱
豆蔻,g
呈瓜蒌,g
黄花,g
甜瓜蒂,钱
槐角,g
胡桃,个
海藻,"克,钱,两1分,两"
生黄芪,g
牡丹,两
炼熟硫黄,两
血余炭,钱
桑柴灰,两
乌鱼骨,两
皂角刺,g
青蒿,"g,分"
草决明,"两,g,克,千克,None"
小磨麻油,斤
椒目,"粒,g"
果州陈皮,None
更入新童便煮,None
地鳖虫,g
冰片,"g,石,斤,分,None,两,字"
生山楂片,克
灯心草,g
密蒙花,"克,g"
21,None
罂粟壳,None
夏枯草,"克,g,石,钱"
葶苈子,"两,g,分,克"
独活,"两,g,克,分,钱半,None"
绵黄耆,两
母丁香,"钱5分,钱"
炙黄艽,g
白芨,g
覆盆子,"两,克"
川乌头,两
狗胆,枚
当门麝,分
金钱草,g
鸡苏叶,两
竹叶,g
青木香,"两,钱"
生地,"g,克,None,两,钱,千克,斤,斗"
淡附子,钱
西瓜皮,g
白丁香,两
人参不拘,None
白晒参,g
甘州枸杞,两
烯莶草,g
琥珀,"克,g,分"
马勃末,克
祁艾,钱
紫？？,g
生蒲黄,两
蒴藋,两
丹皮炭,g
贝母粉,g
川药,g
明沥青,两
菊花,"克,g,None,千克,合,双,钱"
明雄,两
猪牙皂角,None
淡竹叶,"g,钱半"
红娘子,枚
川羌活,克
金箔,"张,片"
甘草,"两,g,钱,分,克,千克,石,None,钱半,两半"
硼砂,"字,钱,g"
茵陈蒿,"两,g"
又不可煮老,None
净黄丹,两4钱
云母粉,None
黄柏,"两,g,克,None,两5钱,钱"
半枝莲,克
决明,g
槲寄生,g
酒曲,g
绍酒,克
生姜自然汁浸,None
细研,None
谷芽,g
芜荑仁,两
怀牛膝,"克,g"
胡椒粉,克
贡阿胶,g
大川芎,两
蛇蜕,条
白附子,"克,g,分,两,钱"
龙胆草,"分,钱,克,g,None,两"
五加皮,"None,分,g,两"
浸膏,g
生杭芍,g
黄菊花,g
泽兰,"g,克"
焦山栀,"克,g"
象皮,克
制何首乌,g
青盐半字,None
牛蒡根,两
锻石决明,g
千金子,两
槐米,g
生磁石,"克,千克,g"
龙骨末,克
小胡麻,"g,克,两,None"
莲心,g
珍珠贝粉,g
枸杞子,"两5钱,克,千克,g,None,两,斤"
绿豆粉,两
黑豆面,两
黄丝绢,None
通草,g
草乌,"两,None,g"
生山药,g
蛇床子,"g,两,钱"
炮穿山甲,g
天竺黄,"克,g,只"
桑根白皮,"两,两半,克"
车前草,"克,g"
桑椹子,"None,克"
乌梢蛇,两
冬笋,克
莲子,"g,分"
羊肾,具
为衣,None
牛膝炭,g
浙贝,"两,g"
五味子,"钱,克,千克,g,两,None"
酸刺仁,g
草果,"分,两,钱半,None"
牛乳,None
广木香,g
以水和作饼,None
经,None
川当归,None
芝麻油,钱
乳汁若干,None
藿香梗,g
锭粉,None
海螵蛸,"g,克,钱"
韭白,斤
龙骨,"克,g,两,None,两4钱,钱"
铅粉,两
樟脑,"克,字,g,钱"
麸炒熟,None
山萸,钱
牛蒡子,"None,g"
亦煮,None
生香附,两
泽泻,"g,两5钱,None,钱,克,两,钱5分"
乳香,"两,g,None,克,钱5分,分,钱"
肉苁蓉,"克,千克,g,两,分,钱"
研为细末,None
麦冬,"克,两,千克,g,None,升,钱半,两半,钱"
全蝎,"克,g,两,分,个,枚,None"
珍珠,"g,克,钱,None"
荷叶,"克,g,片"
重为则,None
涂生姜汁,None
风化消,g
薄荷脑,g
元寸,g
新罗参,克
黑牵牛,两
杜仲,"两6钱,克,g,None,两,斤"
根,斤
柳枝,斤
蜓蚰,g
石膏末,两
取净末,钱
海蛤,分
破故子,"None,两,两半,斤,钱"
食盐,克
士的宁,g
上元,g
钟乳粉,"None,两"
玳瑁片,g
去巴豆不用,两
香附,"两,克,g,钱,None"
生全蝎,个
远志,"克,g,两,None,两半,钱"
火麻仁,"g,两"
炒蒲黄,g
萆薢,"克,两,钱,g"
蛇含石,g
莱菔子,两
生槐末,g
鸡冠花,两
桃枝,"斤,两"
胡连,"钱,g"
麝香半字,None
炮甲片,g
制女贞,g
干蝎,分
金虫,g
芜荑,钱
芦根汁,None
铁丝威灵仙,g
花蕊石,钱
令汁尽,None
楮实子,克
水牛角,g
肉桂心,钱
炒延胡,两
纳人言,克
黄芪,"两,克,钱,g,两半,None,分,钱半"
桃仁,"两,克,g,粒,枚"
鹿角,两
南沙参,g
羚角片,克
川楝子,"两,g,片"
柏子仁,"克,g,两,None"
葱白,"斤,钱"
舶上硫黄,两
薄荷,"两,克,g,None,钱"
诃子,"两半,两,钱"
生黑豆,粒
千葛,克
马牙消,"钱,分"
藁本,"g,None,钱"
南琥珀,两
清炙绵耆,分
伸筋草,g
瓜蒌仁,两
肉桂,"分,两,g,克,钱"
朴消,两
巴戟天,"钱,两"
地龙,"克,g,钱"
莽草,"两,分"
甘菊花,"钱,克,两,g"
苏木,g
肉豆蔻,"两,个,钱"
蔓荆子,"克,g,None,钱"
炒槐花,克
蔗浆,None
阿魏,两
草决,两
紫贝齿,"None,g,两"
钩,g
白敛,两
马齿苋,g
寒水石,g
白胶香,两
明乳香,钱
荷叶顶,g
菟丝子,"两6钱,None,千克,克,g,两,钱,斤"
炙何首乌,g
景天,两
苎根,两
北防风,克
白龙骨,两
鸡蛋清,个
生白芍,"克,g"
