雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
罂粟,"两3钱,None,克,两,g"
足并肠,None
又用生地黄,两
明白矾,钱半
柠檬叶粉,g
取出焙干,None
苦楝子粉,g
人粪灰,"分,两"
鸡膍胵中黄皮,两半
土马鬃,两
大椒,"钱半,两,个"
烧灰存性,None
高茶末,None
乙醇,毫升
大朱砂,钱
苏枋木,两
白莲蕊,两
苍耳根叶,斤
虎肚,两
二味同厚朴一处,None
贡沉香,两5钱
全,None
先煎,None
苦甜杏仁,g
酒红花,钱
陆英,"g,两"
荷叶蒂,None
逆流水柳须,两
去烟,None
空青,两
牛脑髓,个
皂荚白皮,两
阿胶上,None
汉防己茯苓,克
滑石末,"克,钱"
川百药煎,个
用水飞过,None
葱茎白,g
土茯芩,克
沸汤浸一昼夜,None
癞虾蟆草,克
缩砂仁·猪苓,克
以酥涂,None
糯米饭,盏
功劳叶,g
粳米,"-60g,-2两,克,g,合,两,None,杯"
又干,None
草蔻,"None,克,两,分,g,钱,个,枚"
用醋浸,"None,两"
别用汤洗去矾,None
鹿筋,两
以角酥软嚼碎为度,None
川苇,g
扁豆衣,"g,克"
佛手,"钱,两,克,g,None,份"
酒炒杜仲,克
穿山甲片,"钱,g"
锦地罗,钱
夜明砂,"克,钱"
生石决明,g
北梗,克
陈小粉,"两,克"
锉碎同炒,None
炒杜仲,"克,g"
粒,None
蒜白,斤
调,None
熟干地黄,"两,克,None,分,两半"
饴糖,g
三仙,"g,克,两"
猪椒皮根,克
松香末,"两,分"
槟榔片,"g,None"
花碱,钱
去鳞,None
槐角子,两
川军炭,g
炒蒌皮,g
鬼针草,g
鸡蛋壳炭粉,g
明雄黄,"钱,钱半,g"
上血竭,钱
刻乳香,g
五不留行,g
莶草,g
热灰煨,两
韭根,"握,两"
生姜屑,"钱,两"
吃力迦,克
以醋,升
待砂枯去砂留锡,None
萆乌,g
制何首乌,g
地龙麻,g
白干姜,"克,两"
漂牡蛎粉,两
再以生姜,两
马勃,"钱,克"
花摈榔,g
生川草乌,g
龟头,枚
净米泔水洗,None
水豆粉,None
寻骨风,g
切薄片,None
茉莉花,"g,朵"
用腊月黄牛胆汁拌和,None
山椒,g
臭椿白皮,克
鸡粪,升
研为泥,None
用青盐酒炒干,None
蛤蚧,"两,对,None"
胡桃仁,"两,g,两2钱,两半,个"
莘米,None
真阿胶,"两,克,g"
炙款冬花,None
虎帐,g
入麝香,钱
柿蒂,"个,g,钱5分,克"
橙皮,钱
生艾汁,盏
清炙草,"None,分"
八珍汤加黄芩,分
枯萝卜,"两,g"
白牵牛,"两,合,钱,None,克"
洗净切片,None
云术,两
赤龙鳞,分
玄归,g
樗白皮,"g,None,千克,两"
青陈皮,"克,g"
退壳,克
择高洁地上掘,None
焦大黄,g
人工牛黄,g
菖蒲膏,钱5分
巴豆油,钱半
二母,None
猪尾脊骨,节
另用一瓦罂煮汤,None
冬瓜子,"克,钱,两,-60克,g,两半"
葱汁,None
制草,钱
制商陆,g
商草,两
三梅片,分
普鲁卡因,g
飞,None
晒研为末,None
炮姜炭,g
黑桑椹,None
酒炒大黄,g
甜瓜子仁,分
大连珠,粒
真苏子,"None,两"
山茵陈叶,None
川胡椒,g
牡蛎,"钱,两,克,None,g,份"
种是紫菊花,None
白果,"克,g,两,个,None"
勿令透气,None
薄荷脑,"分,两,None,g"
炒鸡内金,g
至第,None
同炒黄色,克
大川椒,分
竹沥半夏,"g,克"
拌橘皮,None
生料平胃散,None
生槐末,g
川栋子,钱5分
生当归,g
活血藤,g
石斛大,斤
猪骨,g
茱服子,g
生熟地,两
生百合,两
桔枝,g
蛇蜕半条,None
紫补,钱
穗,None
照前蒸晒,None
生韭菜,None
炒芍,g
生马钱子,"克,g"
每窍纳巴豆,枚
茯苓钱半,None
莲房,g
麞肉,两
白藿,g
川黄柏,"两,g,钱"
白牵牛子,两
豆蔻,"g,钱,克,分,None,两"
取出放入冷水中,None
牙硝,两
辣桂,"克,None,两,钱,分"
使何首乌蒸,None
鲤鱼肉,斤
生山龙胆,None
生姜母,两1分
鸡子壳,None
土木香,g
海藻,"克,两,钱,None,g,重,份,分,升"
礜石,分
肿节风,g
干金鳖,g
花桑皮,None
%血竭,g
生艾叶,None
薄公英,g
鸡肉金,g
车前草,"g,克,两,None,握"
中心剜小孔,None
茵陈浸膏,g
用水照前煎浸蒸晒,None
茶脚,None
词子,g
地鳖虫,"钱,g,None,个"
不破坚积,None
晒令干,None
穿破石,g
灯心草,"钱,茎,g,None,根,握,把,两,厘"
丝瓜近蒂,寸
