雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
留粉,两
加当归,None
赤茯芩,两
以上者,None
红娘,g
制川军,g
白花蛇肉,两
茵阵,g
时,None
入地金牛,g
家菊花,None
紫荆皮,两
忍冬藤,"g,克,斤"
谷精草,"两,g,None,钱,石"
马宝,两
生延胡,两
云苓块,钱
远志皮,两
南琥珀,两
荆三棱,"两,克,钱"
砚穿,g
浙茯苓,两
好辰砂,钱
酒归尾,钱
蛴螬,"g,个,枚,分"
真胆星,两
陈皮,"两,钱半,None,克,钱7分,两半,分,钱,g,两7钱半,斤,钱2分,两2钱,千克,-20g,升,合,两2分,～9克,钱5分,斤半,铢,枚,份"
打碎去巴油,None
麻油,"ml,斤,两,升,斤4两,g,斤半,钱,None"
铅霜,"分,两,钱"
黄荆子,两
雄黑豆,"斤,None,粒"
用桑白皮,两
枳壳,"两,None,克,钱7分,分,g,钱半,钱,-15克,两半,合,石,钱5分,两1分,斤,份,两5钱"
乳香面,g
腊月狐肝,具
正川芎,None
阿胶,"两,None,钱,克,分,g,钱5分,两2钱,两半,钱半"
雚芦,两
香槟橼皮,g
甘草节,"克,分,钱5分,钱,两,None"
煎汤,None
晕死鹅,-4个
芡实肉红者,两
白莲须,克
味先用米泔水浸,None
净洗,"None,两"
铜绿,"钱,分,None,克,两"
黄瓜叶,片
煅,None
去沙石,None
矾石灰,两
猫爪草,g
净花,g
真桐油,斤
代赭石茯苓,g
慢火熬成膏,None
真蕲蛇,"克,两"
厚扑,"g,两"
蕲艾叶,"两,g"
麦饭石,g
好苏木,钱
一半入药,None
何首乌,"斤,None,两,分,钱,g,石,克,千克,两5钱"
鸽条白,两
炒甘草,克
莱菔汁,None
生猪齿,两
白懂花,g
须无雨处者,None
白砂糖,～300克
每角,斤
面针I,g
炒香附,"两,克,g"
炒没药,g
炒酸枣仁,g
茶钟,None
鲜漆叶,g
尾,克
棘针钩子,合
童便浸,"两,None,分,克"
俟干,None
瓜萎仁,克
真金箔,张
豆秸,g
硇砂,"分,None,克,钱半,钱,两,g"
大青叶,"克,g,None,两,钱,两半"
金荞麦,g
制油,None
小椒,分
麦糵面,分
郁金麦芽,g
炙山甲,g
香菜子,"两,钱"
角罂添汤煮,None
桂圆肉,"g,分,克,None,两,枚,钱"
要盖好,None
微炒,"None,两4钱"
栀,钱
红大戟,"钱7分,克,两,g,分,钱,None"
淫羊藿,"钱,两,g,None,克,两半,分"
土茯苓,"克,g,None,钱,斤,两"
莲米,"两,g"
心膜,None
橘子,克
榆枝,两
天南星曲,克
人参班两,None
生硫黄末,钱
大枫,钱
川姜,"克,两,钱半"
发半夏,g
加脑子,两
小茴香炒,份
桑杜,g
冰糖,"斤,钱,None"
候豆,-7分
杜若,分
李枝头心,枚
羊蹄根,g
葱头,"枚,个"
用猪苓,份
豆蔻粉,g
下巴豆霜,"两,None"
大者,None
生乳,钱
涂酥,"None,两"
水银,"g,两,克,钱,None,分,两1分"
猪肝,克
石长生,克
蚵蚾,None
一藿香,None
大附子,"None,克,两,枚,钱,钱5分"
舌乌药,g
消梨,个
广荜拔,g
辛夷花,"None,克,g,分"
炼猪油,g
蛇胆汁,g
玉糠,g
绿七爪,两
溪黄草,g
熟枳壳,两
蜂蜜,"None,两,斤,g,毫升,升,克,合"
本香,两
大梅花冰片,钱
黄毛鹿茸,两
甜白术,钱
贡冰糖,斤5两
绿豆粉,"钱,两,None,分"
六梅花,g
酒浸,"两,None,克,分"
凤凰衣,"分,钱"
净川椒,两
浮小麦,"g,钱,None"
黛蛤粉,g
熊胆,"分,钱"
即住火,None
壮年头发,斤
四物汤加柴胡,None
制附子,"g,钱,None,克,两"
薤白,"g,斤,克,握,茎,枚,合,升"
紫金藤,两
芦根,"克,g,分,两半,两"
白矾,"g,钱,两,克,两5钱,斤,两半,None,分,千克,斤8两,份"
蝮蛇,分
四物汤加桃仁,None
红糖,"g,None"
屯,None
有五加,None
不要坟墓上者,斤
红白,g
过山龙根,g
小蓟,"g,None,两"
西秦艽,g
大蝉,只
蚶草,g
乌鸡,只
华阴细辛,"克,分"
于内,None
再炒少时,None
珍珠母,"克,g,钱"
约得净末,克
莱藤子,g
苋菜,"克,None"
四物,None
酒淬,None
就用人乳,碗
同炒赤色,None
切作薄片,None
拌炒,克
南香附米,斤
麸炒,"None,分,两"
土元,"克,g,None,斤"
牛犀,两
芦甘石,钱
鲜芦根,"g,None"
酒煎,None
二陈汤加南星,None
炒知母,"钱,g"
点少水,两
酒炒,份
木贼,"g,钱,克,两,None,钱5钱,两半"
白芷牡,钱
通草,"克,g,两,None,分,钱"
菜菔子,g
炙干草,g
菟丝子补骨脂,g
蚕蜕纸,None
拌骨脂,None
厚黄柏,"克,分,两"
大黑附子,枚
冲服,None
夜交藤,"g,钱"
少郁金,g
吴蓝,"两,分"
炒令焦,None
蝌蚪,钱
炮裂,None
不用生姜,None
淹两宿,None
白月石,分
扁蓄,"None,g,两,克,斤"
余滴,None
碳酸,g
调量,None
以炭火煅通红,升
连翅,g
锡内散,支
元护索,g
芦荟,"钱,克,g,分,两"
莱服子,g
硬石膏,两
荜拔,g
煨肉豆蔻,g
姜,"None,片,g"
元胡,"g,None,两,克,钱5分,钱,分,千克,两半,个,钱半,两5钱,面"
火煅,None
煮半日,None
用牡丹皮,克
鸡蛋花,g
荛花,分
益母草,"钱,g,克,两,分,None,石,钱半"
黑小豆,升
生大黄面,g
蜜炙枇杷叶,石
核桃仁,"个,g,None,克,斤1两,两"
瓦楞壳,g
鸭跖草,g
白米,合
川莲,g
榆白皮,两
活化蟾酥,g
捣罗为末,None
冬青油,两
阴干百日,None
蜒蛐,条
雷丸,"两,克,g,None,钱"
真绿豆粉,斤
山茴香,g
核仁,g
桑上寄生,两
合口者,克
牛膝梢,钱
白薇,"分,g,两,钱"
诃皮,钱
益智仁,"两,克,钱,g,钱半,分,斤,None,石"
号,"g,None"
鸦片,分
胡荽,"g,分"
酒果,g
生白龙脑,两
官粉青黛,g
硫酸锌,g
鸡头舌,None
同白术,None
橘叶,"g,片"
芦巴子,"两,None,钱,克,斤"
降香油,ml
刮去皴皮,None
湿桑皮,斗
草乌尖,分
用涂炙鳖甲,None
代赭,"分,两"
蛋黄油,g
土,None
牛角腮,"两,分"
银,None
净连翘,g
绿萼梅,"克,g"
见穿,g
制军,克
羌活鱼,g
田七粉,g
土槿皮,g
炒建曲,克
[方源]古方,None
三叶青,g
番泻叶,g
白术l,克
煅瓦愣子,g
醋炒,None
却用纸裹,None
地榆考,g
炙龟版,两
冬凌草,g
青子芩,None
用银针挑破,None
失笑散,"克,g"
桉树叶粉,g
防风如克,None
或臂胁疼痛处,片
乌贼骨粉,g
龙齿,"g,两,分,None,克,钱"
郁金香,克
候干,None
蛇退皮,克
山栀子,"g,两,分,None,钱,两半,克"
疥虾蟆,个
野菊花,"g,克,钱"
炙白芥子,g
柴胡梢,None
再入下项药,None
繁柳草,两
制野军,两
春头糠末,两
姜黄,"两,克,钱,两半,斤,g,份,None,分"
重蒌,g
密陀僧,"钱,两,None,克,分,g"
金铃,g
土沉香,两
海金砂,"克,g,两,石,分,None"
醋炙三棱,g
紫丁皮,钱
用米醋,升
京元参,None
乳汁,克
用一半,None
叉头令人发狂,寸
仙鹤草粉,g
瞿麦,"克,分,钱,None,g,两,斤"
生黄蓍,g
新鲜胡萝卜,None
虎骨胶,两
用重物去油,None
羊肾躯脂,毫升
不可火太过,克
绿豆面,钱
酒煮,"克,两"
枯白矾,"钱,克,两,g"
阿魏同醋研,None
油青皮,两
味炒黄色,None
地榆,"两,None,克,g,两半,分,钱"
原红花,g
雄黄末,钱
菊花叶,两
法夏,"钱半,克,钱,g,石,None,两"
鬼臼,两
黄虫,分
炙令微黄,None
生山药,"g,克,两,钱"
将,None
洗净晒干,None
止痉散,克
山柰,两
去椒,None
锉如豆大,克
用法酒和蜜涂,None
滤清,None
炙乌梅,g
少木香,g
槐仁,None
人参另炖,g
渐贝母,g
槐子仁,两
云芩,g
小枳实,"钱,克"
紫菟,g
风尾草,g
以水,升
炒赤芍,"克,g"
酒芍,钱
三七末冲,重
白龙须,-20克
炙枳壳,g
朱砂末,克
丝瓜络,"钱,两,g,钱5分,个,克"
候水尽为度,None
青蒿,"g,两,钱,克,握,None,-4寸"
牛黄解毒片,None
笑回想,g
曲末,合
扁豆叶,克
抚穹,钱
茅膏菜,g
椒目,"克,g,两半,两"
冬瓜子仁,两
净没药,钱
蓝实,两1分
麦冬茯神,None
大,石
瓜蒌半个,None
冰片,"钱,两,克,分,钱半,None,g,钱5分,两2钱,钱2厘,份,厘,分5厘,字"
四君子汤加陈皮,None
内金炭,两
生硝尖,分
赤石脂末,克
龙葵根,两
菊花如鸡子大,枚
掠去沫,"两半,两,分"
除地黄汁外,None
马兜铃,"克,g,两,分,钱半,None,枚"
生乌犀,克
福泽泻,g
得油,克
皂角子,个
五加皮两半,None
炒山栀,"克,g"
研黄皮赤小豆如泥,None
覆盆子,"两,None,g,克"
川乌头,"两,克,斤,千克,枚,分,个,钱,None"
煨甘遂,None
老龙皮,None
加甘州枸杞子,两
微炒褐色,两6钱
竹叶,"g,克,片,None,两,分,升"
日夜,两
山甲片,g
生地,"两,None,钱5分,克,斤,钱,钱半,g,分,两5钱,千克,两1钱,两半,升,石2斗,石,～9克,-5钱"
苏梗,"克,g,None,两,钱,分,斤,份"
槲皮,None
生大黄春用,分
白晒参,g
露蜂房,"克,g,两,分,None,钱"
麝半字,None
琥珀,"钱,克,分,两,g,石,升,钱5分,None,钱半"
胡桐律,两
云南钱,None
鼠妇虫,g
百寿大梅,g
取出晒干,钱5分
鼠曲草,"None,g"
净黄连,"两,钱,分"
水磨雄黄,两
蚂蚁,g
壁钱,克
生山查,g
日晒,克
兰根,两
石三棱,"两,分"
去芦梗净,两
防风炭,g
日足漉出焙干,None
炒地榆,g
大全蝎,个
二味用巴豆,片
黛蛤散,g
败草散,钱
古贞子,g
冬瓜瓤,两
制乳没,"克,-10克,g"
砂铫内煮干,None
北杏,g
水尽为度,None
香制附,g
生川乌,"克,g,None,两"
胆南星,"克,两,None,g,份,分,升,钱,～6克"
瓮水梨肉,斤
芜荑仁,"None,两"
马衔虫,枚
去芝麻,None
生北黄芪,g
每豆,两
上药酌于碎断,None
净火消,钱
盐水炒杜仲,钱
金龟莲,g
油出为度,None
白附子,"两,克,g,钱,两半,个,分,None,两5钱"
用水自卯时煮至酉时,None
陵零香,钱
石蟹,只
天天果,g
山栀水,克
姜制,"克,两"
拌匀,None
生杭芍,"克,钱,g"
白石脂,"两,None,两半"
焦山栀,"克,～9克,g,钱"
紫铆,分
黑犀角,钱
赤石脂,"两,钱半,g,None,克,分,两半,千克,钱,铢"
地耳草,g
大腹,"两半,两3分,两"
酒浸一宿,"克,None"
槐米,"g,None"
海螺蛸,g
龙骨末,克
鲮鲤甲,"None,片"
猫抓草,g
草龙胆,"两,None,克"
苍耳草,g
仙灵脾叶,"斤,None"
制川厚朴,g
生槐花,g
勿令气泄,None
醋浸,"两,分,None,克"
暮夜,None
玫瑰花,"克,g"
胡麻油,钱
舶茴香,两
次日淘赤小豆,合
木棉花,g
炮穿山甲,g
桂府白滑石,分
杜仲炭,"g,两,克,两5钱"
炙鸡金,g
炙黄,两
炷香,None
蛀竹屑,克
毛橘,两
枫香,两
青香藤,g
O花粉,g
胡燕窠,"两,个"
麻灰,钱
马钱子,"g,支,只,钱,克,片,两"
酒黄柏,克
毛,克
吴萸根,两
麻黄根,"g,克,两,钱,None"
广木香,"克,两,钱,斤,g,分"
荆穗,钱
野党参,克
陈粟,升
小夏枯草,g
驴肾,具
同捣细作饼子,两
藿香梗,"钱,克,None,g"
韭白,斤
用水泡涨,None
生姜汁制,两
炒五味子,g
骨碎朴,g
金楔子,g
泽泻,"两半,克,None,两,分,钱,钱5分,～9克,g,升,钱半,钱2分,斤"
乳香,"分,钱,两,克,g,None,两半,钱5分,钱半"
利蒺藜,g
桂枝汤去芍药加茯苓,两
冬瓜汁,合
紫苏皮,两
生薏仁,g
破,"升,片"
坌土,分
金牙,两
杵,None
日后取出巴豆细研如膏,None
同炒赤,None
乌麻油,两
淄州黄丹,两
灸麻黄,g
毛麝香,斤
木槿花,None
伏翼粪,两
黄连对半,None
白龙脑,钱
根,斤
醋,"None,克,升,毫升"
水牛油,两
蓬荗,两
黄泥封固,None
生玳瑁,"合,克"
大厚朴,碗
剪刀草,g
汽油,两
飞丹密陀僧,两
上,None
莲仁,克
八,两
喜人壳,g
榖树叶,None
虎杖根,克
猪卵,具
徐长卿,"g,石"
商枳壳,两
向糖,两
赤马通,块
蛇含石,"钱,None"
虎睛,对
七爪橘红,斤8两
去皴皮,"None,两"
一方加鹿茸,钱
焦鸡内金,g
大远志,克
北芍药,None
雪膏,两
猪肚,个
素馨花,g
乌蛇胆,个
附予,两
鸦胆子仁,克
牛膝炭,None
以河水,升
狼牙,两
雄猪油,两
桃仁,"钱7分,克,分,两,None,g,粒,枚,至5钱,钱,石,两半,个,两6钱,斤"
加知母,None
小野鸡尾,g
又入水同捣,None
穿心莲,g
大蜘蛛,"枚,个"
麸炒枳壳,克
入陈酒浸,None
葱白,"斤,握,克,茎,个,None,寸,-6根"
其浸药之酒,None
诃子,"两,钱,克,None,g,两半,分,个,石,枚"
勿令泄气,None
辰茯苓,g
鲤鱼胆,分
夏一日,克
羊肾,对
瓜蒌仁,"None,钱,两,克,g"
肉桂,"钱,两,g,克,None,两5钱,两半,钱半,分,千克,钱5分,～6克,份,～9克,铢"
元胡粉,g
桂附理中汤,None
地龙,"钱,None,两,g,克,份,条"
加防风,两
甘菊花,"钱,分,两,斤,克"
炒小茴香,g
百术,g
炒榧子,g
大豆,"克,合,升"
山豆根,"克,g,None,钱,两"
桔梗,"克,g,两,None,钱,钱半,合,份,两半,分,千克,斤,钱5分"
琵琶叶,g
半豆许,None
大力,"g,None"
阿胶如手指大,None
冬青叶,g
川附,克
味须,两
用白矾末,克
红毛大戟,None
马牙盆消,None
炼人言,None
再用银箔糊住角口,None
银箔,片
生白芍,"克,g,钱,两"
蒸馏水,g
川花椒,g
钱,两
葫芦巴,"克,g,两,两半"
隔山消,None
脑半字,None
虎仗,g
地下明珠,None
辽五味子,两
熟艾,"钱,克,两"
放冷取出,None
当时发,g
龙涎粉,两
东引石榴皮,两
去泥土头翅足,两
净硼砂,g
谷麦芽,g
仅吃了,g
山楂子,"两,克"
草,None
椿树根皮,钱半
楝根皮,None
杏仁,"钱,None,克,两,个,g,分,两7分,斤,石,枚,两半,升,粒,钱5分,两1钱,合,斗,钱半,-7枚,两5钱"
伏龙肝,"None,两,克,钱"
加全蝎,个
白残草,g
真轻粉,钱
柳,茎
木蝴蝶,"g,钱"
追风箭,g
鲇鱼肝,"个,分"
山萸药,g
老莲肉,两
白前,"钱,g,钱半,两"
猪骨粉,g
化硼砂,两
土大黄,g
杂丹,g
黄连末,"两,分"
秦艽,"～22克,两,克,g,分,钱半,钱5分,钱,None,两半"
海蝓壳,g
扁豆灰,g
香附末,"克,g"
蓬茂,克
将汤盂置架上,None
救必应,g
涂生姜汁,"克,None"
用青盐,"份,克"
金樱膏,"千克,斤"
无虫蛀,None
煮取汁,斗
同地黄汁并入前浸药酒内,None
菲白,g
制附,g
苍耳虫,None
于木臼杵捣数千下,钱
木壳,g
白残花,g
葵花子,"克,钱"
同芝麻炒爆,两
鸡血藤肉,g
生冬术,g
熟枣仁,钱
怀生地,"两,钱"
研取枣汁约,升
真西黄,钱
猪心,具
生葱,两
熟去青皮,None
王不留形,g
高良姜,"两,克,g,None,斤,分"
使君肉,"g,钱"
以芝麻熟为度,None
自退下者佳,None
用茱萸,份
芫荽,g
令碾桃仁为细末,None
平胃散加茯苓,两
白硼砂,"钱,分"
生鸡金,g
血余炭,"钱,g,分,克,None,团"
川楝皮,g
海龙,g
黑荆芥,g
挤出紫血,None
北茵陈,克
干蝎,"分,两半,枚,两,None,个"
猪苓,"两,钱,克,None,g,分,钱半,钱2分,斤"
雄鼠粪,克
加神曲,钱
但只以瓜根,两
葛粉,"两,None"
黄连,"克,两,钱,两6钱,g,None,两5钱,石,分,两半,钱半,斤,钱5分,两1分,两5分,个,合"
布包悬井底,None
大果榆,g
炒五灵脂,g
广藿香梗,两
五倍子,"g,钱,两,克,None,分"
煅硝尖,分
白微,g
零陵香,"克,两,分"
萆澄茄,钱半
四川绿茶,g
继木,g
入茯苓内为度,None
文火炒,两
山奈,"两,克"
猕猴项骨,两
乌金石,None
鸡头子,颗
山茱萸肉,两
捣碎,None
人参茎叶皂甙,g
洋兰,g
味俱米泔浸,None
杏仁油半鸡子壳许,None
鹿衍草,g
用甘草水飞,None
皂荚针,两
鱼腥草,"g,None"
