雄黄,"钱,两,克,None,分,g,钱半,斤"
川楝子,"两,钱,克,g"
煮数沸,None
涂生姜汁,"克,None"
川黄柏,"两,g"
另放末,None
生首乌,g
柳枝,None
醋,None
紫背天癸,升
玉米须,g
遍为度,None
茵芋,两
天冬,"两,克,两5钱,两半,g,钱7分,None,钱"
萎仁,克
酒,None
海粉,"钱,两"
蛇含石,"钱,None,块"
虎睛,对
旱连草,g
大远志,两
拭净,两
大川乌,None
干蝎,"None,克,两,-2两"
金虫,g
取黑者炒,合
降香饱和液,g
童便,None
铁铧粉,分
金黄散,g
楮实子,"两,克"
猪鬃脂,升
桃仁,"个,克,g,两,None,钱,分"
川常山,斤
以来,None
莲子,"两,None,克,g,粒"
茯苓细粉,None
缝定,None
