雄黄,"g,钱,两,分,克,钱5分"
又以浆水浸,None
常山叶,g
丁香皮,两
三七,"None,g"
水酒,碗
生姜汁和匀,两
蒙事,g
山柰,两
生白芍,"克,g"
荆三棱,"克,两"
川木通,"克,两,g,分,方,钱,None,钱5分"
淮乌,None
少木香,g
辣桂,克
渐贝母,g
用盐,克
大果榆,g
俱要真正者,None
粒红花,钱
槐角,"None,g"
真排草,两5钱
海藻,"两,kg,克,None,g,匙,石,份,升"
风尾草,g
牡丹,分
炒赤芍,克
血余炭,克
细芽茶,分
老鹤草,g
干金鳖,g
炙鸡内金,g
连皮大腹,两半
皂角刺,"克,g,个"
羊蹄草,g
陈枳壳厚朴,克
鹤虱草,两
青蒿,"克,两"
干姜黄,两
炒带壳高粱,g
草决明,"g,两,合"
椒目,g
木栀子,g
焦山查,g
栝蒌皮,g
地鳖虫,"克,g"
冰片,"g,两,钱,克,分,文,None"
大青盐,"钱半,两"
穿破石,g
小蓝,两
灯心草,"分,根,茎"
密蒙花,两
大附子,两
土鳖甲,g
夏枯草,"克,None,g,份"
葶苈子,"分,g,两,克"
鲜凤仙透骨草,g
赤地利,两
制穿山甲,g
赤消,分
麸炒微黄,None
鹰条白,两
地榆根,分
母丁香,"两,钱"
虢丹,钱
次入斑蝥,None
炒山栀,"克,g"
羊毛脂,两
用小油浸,None
白芨,"g,None,钱"
凤尾草,g
茯苓皮,"g,钱"
川乌头,两
猪芩,g
酒精,"g,ml"
炙知母,g
金钱草,"克,g,石"
莲须,"None,g"
竹叶,"g,个,克,把"
硫磺,"None,g"
青木香,"克,g,None"
山甲片,g
生地,"克,None,g,两半,钱5分,钱,斤,两,分"
黍粘,钱
芎?,"两,分"
人参不拘,None
研细滤入煎内,None
龟板,"g,克,钱"
如急用,None
以盐泥封固,None
琥珀,"克,g,两,钱4分,分,钱"
于水盆内搅,None
大米粉,克
柳杖子急搅,None
铁观音茶,g
余枚,None
真黄丹,分
生蒲黄,"g,None"
锉制,两
四叶参,g
伏时,None
尖双仁,None
石韦,"分,两"
猪板油,g
菊花,"g,两"
青葙子,两
九香虫,g
淡竹叶,g
挂于有风之处,None
菊花同焙令黄,None
川羌活,钱
糯米,"份,升,None"
甘草,"克,None,g,份,两,分,钱,两1分,钱半,根,两半,钱5分,斤"
硼砂,"None,克,钱,g,分"
吴蓝叶,分
茵陈蒿,"g,None,克,两"
枸杞子,"g,两,None,钱半,钱"
橘络,"克,g"
豉心,"粒,两"
蛇草,g
去双仁,None
黄柏,"克,g,分,None,两,钱"
半枝莲,"克,g"
香制附,g
生川乌,"g,None,两"
文火炒燥,None
天雄,"钱,None,两"
太子参,g
胆南星,"g,两"
金砂牛,g
石绿,两
荆芥,"克,g,None,两,-12克,钱半"
姜汁浸,"两,None"
生北黄芪,g
葛蕊,None
芒荟,g
知母,"None,g,克,分,两,斤,钱"
白附子,"None,g,两,-1两,钱,克,分"
白花蛇蛇草,g
川常山,斤
浸苍术,g
土茯芩,克
零陵香子,克
姜制,克
白蔻衣,g
人中白,钱
穿山甲珠,g
英粉,钱
芋艿丸,g
真西黄,钱
泽兰,"g,None,钱"
象皮,g
赤石脂,两
茅香,克
荷蒂,g
面针,g
[方源]古方化裁,None
芒硝,"克,g,石"
铁树叶,g
杜蒺藜,两
五倍子,"克,g,两"
小胡麻,"两,钱"
莲心,"克,g"
草龙胆,钱半
苍耳草,g
藤梨根,g
津梗,g
五谷虫,枚
通草,"克,g,钱"
草乌,"g,克,两,None"
生山药,g
苇,g
蛇床子,"g,钱,份,石,两"
料姜石,g
炮穿山甲,g
天竺黄,"g,克,钱"
入安息香,两
冬青油,两
车前草,g
桑椹子,g
黑豆,"g,None,粒"
莲子,"钱,g,两"
杜仲炭,钱
漉出,None
嫩桑枝条拌蒸,None
醋柴胡,g
檵木,g
红豆蔻,g
沥青,两
牡蛎海藻,g
马钱子,克
五味子,"g,两,两半,None,分,两1分,升,粒"
草果,"g,None,个,斤"
凌霄花,分
麻黄根,"两,克"
白节,g
广木香,"g,两,钱"
石见穿,g
生黑豆,斤
脚子,None
用酒拌湿透,None
海燕,两
木馒头,g
川面姜,分
小夏枯草,g
北杏,g
朴消,"克,两"
壮蛎,g
海螵蛸,"克,g,钱,铢"
通明没药,克
去斑蝥不用,None
黄苓,分
海红蛤,克
樟脑,g
栀子花,g
海蛤,"克,分"
牛蒡子,"克,g,两,分,None"
全蜈蚣,对
故纸,克
泽泻,"g,None,分,两,钱,克"
乳香,"克,g,钱,两,None,钱半"
肉苁蓉,"g,两,None"
用皮全者,枚
白果,None
麦冬,"克,石,g,两,分,钱,None,钱7分,钱半,两半,钱5分,升"
川楝子,"克,两,g,钱半,枚"
去姜,None
荷叶,"克,g"
蝙蝠葛根,g
胖大海,"None,g"
一枝花,g
煮干,None
涂生姜汁,None
薄荷脑,"None,g,两"
白花商陆根,两
从已至申,None
河豚眼,枚
雨前茶,钱
杜仲,"g,两半,两,None,钱半,克,斤,钱"
细锉,None
干乌脑,None
柳枝,两
良姜十,两
急性子,g
熊胆,钱
木贱草,g
陈粟米,两
制附子,g
蜂窠,分
桑百皮,g
破故子,"g,斤,两,克"
生桅子,斤
肉苁,g
天冬,"克,g,钱7分,分,钱半,两,钱"
生台党,g
匾蓄,g
苏叶,"g,克,两"
地黄,"钱,斤"
甘遂粉,g
甲,None
莽草,None
远志,"g,两半,None,两,钱7分,钱"
以米泔,碗
芦根,g
炒蒲黄,g
