雄黄,"钱,克,字,分"
樗白皮,克
旱莲草,"g,两,斤,钱半"
绢包,None
红花,"两,None,克,g,分"
赤勺,g
野菊花,g
同于银器内,克
紫贝齿,枚
大甘草,钱
桂圆肉,"两,枚,g"
欢,g
姜黄,g
石南,克
吹晒干,None
密陀僧,None
以寸为度,None
建莲肉,两
择粗壮者切碎,None
白鸡,头
生贯,None
熏陆,钱
青黛,"两,钱"
驴肾,"两,具,g"
牡蛎,"两,g,None,钱"
瞿麦,g
干漆,"升,钱,两,分"
牛旁子根,两
大菟丝子,g
桑黄,斤
乌药,"钱,两,g,斤8两"
黑芥穗,g
于白术,两
紫葳根,两
麋角屑,两
前胡,"分,两,克"
用酒,升
研末同炒,None
地榆,"钱,g,两"
山药,"两,两2钱,g,钱,克,两半,分,None,钱5分"
白首乌,g
法夏,两
丁香皮,"两,克"
三七,g
淫丰藿,g
并以桑柴火煮,分
慎火草,升
令水尽为度,None
白人参,克
炒褐色,两
萍蓬根,None
水洗去浮者,None
生阿胶,克
怀生地,克
豆蔻,钱
黄柏末,None
用盐,匙
甜瓜蒂,"个,-7枚"
矿子灰,钱
槐角,两
陈煮酒,克
杜仲炭,"两2钱,两,克"
生黄芪,"克,g"
牡丹,两
礜石,分
水银,钱
三七末冲,重
川巴戟,两
童便制,None
或半字,None
桑白皮,"g,克,两"
甜白术,两
石蚕,分
青蒿,"克,g"
如前,None
泔浸,两2钱
慢火煮,None
蝉蛹粉,g
炙黄,两
棉花子炭,粒
桃胶,分
天台乌,两
针者,None
生葛根,None
柳枝半握,None
灯心草,"钱,节"
置大锅中井字架上,None
金墨,两
调和后项药,None
葶苈子,"None,克"
力子,None
地榆根,分
梅冰片,钱5分
麸炒微黄,None
母丁香,"两,钱,None"
冬葵子,两
用巴豆,个
用糯米泔水浸,None
白芨,g
覆盆子,"两,两半,None,克,g"
以新砖压之,None
炒枇杷叶,g
味锉碎,None
干熟地黄,两
酒浸两宿,None
川木通,"两,钱,g,克,None"
金银花,"g,克,钱5分"
天南星,"两,钱半"
日夜,None
青木香,None
生地,"两,钱,斤,千克,分,克,None,斗,g"
焙干为末,克
白马茎,"两,分"
辛夷花,g
甘州枸杞,两
中鹿,只
草乌,"g,两"
同研,None
琥珀,"两5钱,克,两,石,钱,g"
上元桂,钱
槐花,"两,钱"
硫黄华,None
蒸焙,两
白蛇,None
当归梢,分
入瓦罐中,None
续断肉,两
蒲黄,"g,None"
银石器中熬去半,None
石韦,"克,钱5分,两"
菊花,"两,斤,g,石,升"
青葙子,克
冬瓜子,g
勿使干涸,None
糯米,kg
甘草,"两,克,钱,斤,None,两半,g,分,钱半"
硼砂,"两,钱"
豆粉,钱半
茵陈蒿,g
黑椹子,斤
红曲,两
层封口,None
入白蜜,两
又将童便浸,钱
云母粉,两
黄柏,"两,两5钱,None,克,g,分,钱,钱5分"
酒煮,None
决明,g
槲寄生,g
白花蛇头,分
胆南星,g
细研,克
鼠黏子,两
不时添注坛内并锅内,None
再炼蜜,斤
神曲,"两,克,分,斤,g"
细切,"None,两"
南沙参,钱
白附子,"两,钱"
荞麦杆灰,钱
哺退鸡蛋,个
肚杂洗净人原汤熬膏,克
捣烂,None
油,克
龙胆草,"None,g,克,两"
茄科灰,两
姜制,两
五加皮,"两,钱,克,g"
炒苁蓉,g
生姜汁拌,两
黄毛鹿茸,钱
泽兰,g
焦山栀,g
制何首乌,g
生姜汁,"斤,g,合"
以好酒煮烂,None
芡实子,两
酒浸一宿,克
蟾酥,钱
缠豆藤,两5钱
杜蒺藜,两
白茯神,两
莲心,"两,g,分,克"
麝香,"钱半,None,两,钱,克,g,分,字"
通草,g
牛胆,两
暮夜,None
蛇床子,"两,钱,克,两半,分,None,g"
葱子,两
楮子,升
天竺黄,"分,两"
炒韭子,克
桑椹子,"g,两,克,None"
黑豆,"钱,粒"
海松子仁,克
面裹煨,None
又晒,None
银柴,None
侧柏叶,"g,克"
马钱子,"钱,克,两"
五味子,"两,钱,两2钱,g,斤,两半,克,分,None,石,粒"
毛,钱
草果,"None,两"
凌霄花,两
拣参,两
其骨须酥炙,克
广木香,"钱,g,斤"
藿香梗,克
川当归,None
姜汁浸,克
