雄黄,"g,钱,克,两,None,分,铢,钱半"
杏仁泥,g
柳条,None
金刚莲,g
麦芽,"两,g,钱,克,斤,None,分,～15克"
犀牛皮,克
霜苍术,g
生鸡内金,"g,两"
南山楂,None
薄荷汤浸开,None
鲜皮,钱
岁以下儿童用,克
则用青布裹之,None
北芥子,g
臭梧桐,"None,g"
马鬐膏,升
赤芍,"g,两5钱,钱,两,两半,分,None,克,-15克,双,石,钱半,钱5分"
面粉,钱半
黄杨木,g
腊茶,两
水淘过,克
生米仁,"g,克"
紫丹参浸膏,g
鸡西藤,g
生黄芩,克
36,None
千斤拔,None
酒洗,"None,两"
纯白炭灰,斗
安木瓜在内,克
绿梅花,g
榠樝,None
煅瓦愣,g
久用炊单布,尺
中桂,克
六一散,"克,钱,g"
研末冲生姜,片
香油,"None,盏,g,两,钱,克,斤"
粳米一撮薄荷,g
清油,两
桃仁泥,"g,克,钱"
欢皮,g
大槟榔,个
地骨白皮,"分,两"
过滤去滓,None
当归须,None
桅子,"g,None"
绞取汁,None
蜂蜡,"g,两半,两,钱,克,分,钱5分"
穿山蜈蚣,None
分为,None
毛冬青,g
内,"两,克"
蜜水炙,两
赤地利,None
螃蜞菊,g
嫩黄蜡,两
茶叶,"None,两,钱"
饭锅巴,面
金银箔,分
芒果叶,g
入水中浸,None
海藻,"分,两,克,None,钱,g,kg"
景天,两
生然铜,g
又换,None
醋淬,"None,两"
大茴香,"两,g,钱,克,斤"
玄胡粉,g
炙兜铃,g
微炙,None
土培,None
半夏曲饼子,None
先将大黄末以好米醋,-4碗
羊桃根,克
酒粕,None
白豆蔻仁,"两,克"
韭根,握
枯梗,两
煎掠去沫,两
将山羊血拌入,两
真银箔,片
