以新汲水,None
华,g
生薏苡仁,g
净滑石粉,钱
全蝎,"钱,克,g,个,None,枚,两,两5钱"
实,钱
鲜贯众,克
老熟地,两
乱发灰,两半
取鹿角胶,斤
溴化钠,g
地塞米松,g
生梨,g
川木香,g
上己菜,g
苯甲酸,g
捣成饼,两
梅核仁,个
广角粉,g
秦皮,"g,克,两"
解仓,两
酒黄芩,g
%黄柏,g
炒槐花,克
干石斛,两
挂金灯,克
黄连粉,钱
马齿苋,"克,g,None,升"
寒水石,"钱,g,两半,两,斤,份"
水飞,None
绢袋子盛,None
槐荚子,两
菟丝子,"克,g,两,石,None"
怀熟地黄,克
刺力,"g,None"
炒荆芥,"克,g"
涂生姜汁,None
全归,g
[方源]古方化裁,None
缘麝辟蛇毒,None
川黄柏,g
木鳖仁,"钱,两"
须连纸放地上,None
北柴胡,None
老鸡,只
当归尾,"克,g,None,分,两"
蜜,两
食盐淹,None
青羊脂,两
芍,"None,g"
车前子,"None,克,g,石,两,钱,分,升,钱半"
一半烧存性,克
葛根,"None,克,g,两,两半,钱,分,升,两5钱"
马蔺花,"两,分"
白萝卜,斤
重楼,"g,克,～30克"
猪牙皂荚,两
粉丹,g
黄雌鸡,只
制牙皂,两
远志,"两,g,钱,克,分,None,两半,两1分"
柿蒂,钱
生赤芍,"克,钱"
黄芩,"None,克,两,g,斤,钱5分,钱,～6克,分,～9克,两半"
川芎白芍,千克
槟榔末,None
焦三仙,g
茅花,None
甜瓜蒂,"两,分"
犀角屑,"克,分,两"
紫石英,"g,克,分"
鲜荷梗,None
犀角,"克,None,钱半,g,两,钱,分"
松果,g
麸炒微黄,None
赤勺,g
河白草,g
铁苋菜,g
故名,None
夹炒,None
臭花娘根,两
知母,"克,g,两,分,None,千克,钱"
黄栀,g
瓜蒌皮,"g,克"
水红花子,g
蒲黄蓬,两
白芨粉,"-15克,g"
浸候日数足,None
射干,"g,克,钱,～20克,两"
干胭脂,钱
石膏末,钱
山茵陈,None
糯谷,None
白蔹,"两,分,克,g"
有盖瓷瓶子,None
再于铫内熔,None
贯众,"g,钱,两"
紫苏,"None,g,克,分,钱"
吐温,ml
蛇麻子,g
太子参,g
姜半夏粉,g
透骨草,g
蔗糖,g
加黄连,两
炒黄柏,石
藁本,"g,两,钱,分,千克,None,克"
细木通,克
白面粉,～150克
鹅不食草,g
不出油,None
好贝母,两
好朱砂,两
芡实子,两
酒柏,钱
芙蓉叶,"g,两"
龙眼睛,g
白豆蔻,"g,钱半,None,两,分,钱,粒,克"
米泔浸,None
茅根汁,升
锡,两
%茯苓,g
诃子皮,两半
鸡子,枚
揉取细者于绢上罗过,None
次入紫石英,None
半夏僸,None
参三七粉,g
去浮甲,None
浸着角后煮得角软,None
甘遂,"克,两,g,None"
250,None
至来旦取出,None
酒,None
糖粉,两4钱
半桂,钱
鲜芦根,"克,两,g"
茯苓二十,两
椒巴豆,方
角刺,克
以火尽为度,None
紫花地丁,"克,～15克,g"
枯矾,"g,克,分,～10克"
香附,"克,钱,None,g,两,钱半,斤,分,千克,升"
生地黄汁,"毫升,合,升"
土茯苓大,None
菠萝香精油,钱7分
盆消,两
炒菜菔子,g
前胡,"None,克,g,分,两,钱5分"
豨签草,g
制大黄,"克,g"
霜桑叶,"克,g"
赤苓块,钱
大菖蒲,None
解作,None
酥炙,钱
北山楂,g
盛智仁,石
海粉,None
其口不固济,None
条黄芩,分
竹沥,"毫升,合"
茯苓,"None,克,钱,～9克,g,两,两5钱,钱半,分,两半,石,千克,斤半"
不见水,None
慢火熬成霜,None
茜草,"克,两5钱,钱,-5钱,g,～15克,至5钱,None"
炙紫菀,g
川草,"g,None"
陈白梅,None
姜远志,克
百合,"千克,g,两,None,两半"
当归须,钱
罂粟过,／2份
真川芎,分
捣罗,分
虎杖,"克,g,None,两"
黄柏粉,g
为引,None
刺蓟,"None,两"
去滓成胶,None
栗子肉上皮,两
鸡脚埤根须,g
菌陈,g
以纸,重
依前法,None
铤,None
生柏叶,None
川归,钱
黑矾,"g,两"
狼毒,g
土贝母,"g,钱"
樟脑,"钱,g"
生苍术,g
皂荚子仁,两半
人中白,"g,分,钱"
白术,"None,克,钱,g,石,份,两,钱半,分,两5钱,两半,千克,钱2分"
苣胜子,"两,合"
胆矾,"分,g"
川芎,"None,克,钱,分,g,两,钱5分,两半,钱半"
制茅术,钱
千里光,"克,g"
乌头,"枚,None,两"
半边莲,g
绿豆粉,钱
油,"None,两"
焰消,两
槟榔,"g,两,分,枚,克,None,钱,钱5分,钱半"
制军炭,g
藕汁,"毫升,升,g"
漏芦,"g,分"
石南草,分
铁浆水,钱
酒红花,None
干克,None
补中益气汤去白术,None
干山药,"两,克"
桑枝,"g,斗"
足用,钱
车前叶,"枚,两"
槐来炭,g
炙黄耆,钱
以荞麦灰汁煮,None
以火养,None
龟板,"克,g,钱,两,None"
蟾蜍,"g,枚"
围瓶子,None
生藕节,g
取烧灰,None
天雄,"两,克"
古老钱,个
当归,"None,两,克,钱,g,钱5分,～6克,分,石,升,钱半,两半,千克,两5钱"
天麻,"g,两,两半,钱,None,两1分"
南木香,"两,None"
蝉蜕,"克,None,钱,两,枚,g,分,只,个"
紫河车,"个,g,具,None"
酒洗净,None
土瓜根,"两,None"
须文武火不紧不慢,None
此胡,g
自然铜,"两,g,克"
味同捣匀,两
伽楠香,克
地黄,"g,克,None,斤"
苏子,"g,分"
制附片,钱
百部,"g,两,None"
童便浸,None
煅乌贼骨茜草炭地榆炭,g
以纱囊盛之,None
更加O.,克
宣黄连,钱
败酱草,"None,克,g"
羚羊角粉,g
黄瓜蒌,枚
生三七粉,"-5克,g"
莪术,"g,两,None"
京玄参,"钱,g"
川楝肉,"两,钱"
龟板胶,g
蜂壳粉,None
便入硫黄,None
爵床,"克,g"
槐花,"克,两,None,钱,g"
用黄连,斤
候冷,None
土荆芥,"克,g"
生乌豆,克
味为末,None
伏龙胆,g
西诃柳,g
鲜藕,g
络石藤,"克,合,g"
鸦胆子,"g,粒"
切作片子,None
味以好醋煮干,None
