雄黄,"钱,两,None,克,分,g,两2钱,铢,千克,钱半"
蜜佗僧,钱
全虫身,两
干去毛,None
姜制,"两,两半,钱半"
拌匀,None
生杭芍,"钱,克"
净银花,钱
白石脂,"两半,None,两,两1分,钱,克"
焦山栀,"钱,g"
盐花,"两,斤"
地耳草,g
大腹,"两半,两"
麦门,两
酒浸一宿,None
蟾酥,"None,钱,分,克,g,两,字,两5钱"
茶油清,斤
同药,g
用水淬,两3钱
鲮鲤甲,"分,两,None"
花椒,"克,两,g,None,钱,钱5分,分,粒,铢"
草槐花,g
绵姜,钱
真蟾酥,钱
仙灵脾叶,斤
苓,钱
黄虢丹,钱半
九蒸九晒,克
醋浸,"None,两"
生山药,"克,钱,g,两"
人参另煎,升
浸经,None
砂仁粉,g
五灵胎,g
炙鸡金,g
炙黄,两
黑狗脊骨并髓,两半
熟黄瓜,枚
醋柴胡,"钱,g"
水渍,克
马钱子,"克,份,支,g"
酒黄柏,克
胡桐泪,分
萼,克
肫内黄皮,None
麻黄根,"克,两"
慢火煨熟,None
广木香,"钱,克,两,分,g,钱半"
炒黄连,"克,g,分"
炮甲,克
红砂糖,g
生地汁,"None,毫升"
藿香梗,"钱,g"
糯米同炒米熟,分
军边莲,g
地麦草,两
豮猪肚,具
生姜汁制,"两,None"
取出加酒,None
蛤蚧粉,g
大土灰,分
去泥土,None
香连丸,g
发灰,克
血通,"克,g"
葫叶,两
火煨透,钱
并生用,两
乌麻油,"斤,升"
薄荷脑,"g,None"
秸皮,g
草寇,g
白龙脑,分
根,斤
蜜柴胡,g
蚕豆壳,g
醋,"None,两"
芝硝,g
大麦须,克
汤浸得所,两
醋石榴皮,两
连皮,克
老黄蜡,g
生黄芪,"克,g,升,None,石"
上,None
天葵草,克
子捶碎,None
天冬,"克,两5钱,两,g,钱,None,两半,两3钱,分,斤,两1钱"
炒黄芩,"克,g"
活泥鳅,条
半夏半粒,None
虎杖根,"两,g"
顶,None
木鳖子肉,"两,钱"
炒赤色为度,None
去桂,None
蛇含石,"两,钱,None,克,个"
虎睛,"对,分,具"
以人乳浸,两
去皴皮,"None,两"
犀牛角,钱
大远志,克
广荗,"两5钱,两,分"
制女贞,g
芽茶,钱
雪膏,两
仙人掌,g
芦根汁,毫升
肥皂荚,"斤,挺,两"
素馨花,g
干山芋,两
鸦胆子仁,克
水煮半日,None
魇摩勒,枚
艾叶,"钱,None,两,克,g,斤,分,把,铢"
苦地胆,g
生甘草稍,g
烘肉豆蔻,g
槐东南枝,石
黑栀,"钱,None"
用小竹针扎定,None
生姜自然汁,"None,分"
臭椿树根,两
茱服子,g
葱白,"斤,茎,根,寸,钱,None,握,两,升,g"
炮令香熟,None
薄荷,"克,两,分,g,None,钱,握"
旋覆花,"钱半,g,分,两,None,两5钱,克,合"
勿令泄气,None
聍,两
辰茯苓,g
雄鸡肝,None
片子白姜黄,两
鲤鱼胆,枚
玄精,两
肉豆蔻去由,g
苦荞头,None
瓜蒌仁,"None,g,两,钱"
肉桂,"两,克,分,g,钱,None,斤,钱1字,～6克,寸,两半,钱5分,钱半,两2钱半,两5钱,铢,两6铢,份"
元胡粉,g
石南藤,None
络石藤,"g,两,克"
马蹄灰,None
酒炒川连,None
向日葵杆芯,g
甘菊花,"钱,两,g,克,分,None"
蛀青皮,两
百术,g
野鸽粪,两
大豆,"合,升"
山豆根,"g,钱,两,克,None"
中剂,克
桔梗,"两,None,克,分,斤,钱,两5钱,g,升,两半,钱半,两1分,铢"
两边剜去,None
琵琶叶,两
右十味,两
黑鲤鱼皮半个,None
大力,"g,None"
竹节白附子,钱
阿胶如手指大,None
冬青叶,g
川附,两
俟干,None
味须,两
用白矾末,克
败龟背骨,两
北防风,克
白瓜子仁,两
银箔,"片,帖"
加车前子,None
生白芍,"两,克,g"
蒸馏水,ml
川花椒,g
石长生,分
葫芦巴,"两,斤,克"
虎仗,g
桦皮,两
伏时,None
汁尽为度,两
辽五味子,两
制附块,克
熟艾,"两,克"
黑元参,None
花桑叶,分
炙土鳖虫,g
商陆根,"条,两"
黍,kg
瓶,None
谷麦芽,g
再入酒拌匀,None
杨枝,厘
山楂子,"钱,两"
草,"None,钱"
益母草,"两,克,g,None,钱,分,kg,两5钱"
鸡汤,None
杏仁,"克,None,个,两,斤,枚,g,分,钱,两半,粒,钱半,升,-7枚,两5钱"
瓦楞壳,g
一点红,g
真轻粉,分
内桂,g
苦楝子,两
橘红倍之,None
背皮,克
研磨,克
黄连末,"两,分"
秦艽,"两,克,钱,g,None,分,两半,钱半,钱5分"
酒洒,None
扁豆灰,g
露蜂房,"克,g,两,None,钱,具"
锦庄黄,克
救必应,g
白点秤,g
血余炭,"克,g,None,钱"
不得令过火候,None
又以黄连煎汁,None
%醋酸,ml
速倾冷水盆中,None
乌驴蹄,分
真当归,两
醋酸强的松,g
陈细茶,克
同芝麻炒爆,两
灰,两
犍猪爪,枚
生冬术,克
上官桂,两
以大火一煅,None
肥皂,"None,个"
生葱,斤
高良姜,"两,g,克,分,两半"
使君肉,g
净苍术,None
黄花,g
白硼砂,钱
蓬荗,两
雪白茯芩,两
酸枣仁桂,两
黑豆水拌匀令湿,None
干蝎,"两,分,枚,克"
猪苓,"None,克,g,钱5分,钱,分,两"
山栀子仁,"两,两半,克"
锻瓦楞子,g
黄连,"克,两,None,两6钱,钱,钱半,分,两半,g,-5分,升,石,-2钱,斤,钱5分,两1分,个"
大使君子,个
墓回头,g
杜蘅,两半
炒五灵脂,g
五倍子,"g,克,None,两,钱"
半夏同为饼子,None
芡实米,"克,g"
一十,两半
湿纸包,None
萆澄茄,钱半
木蝴蝶,g
山奈,"两,None,钱,克"
粉大甘草,钱
香精,None
天雄辛夷,两
捣碎,None
于火上熬数沸,None
鱼腥草,"克,g,None"
五倍子炒,两
另研细,None
参鳖甲,g
粟,合
置土坛内,None
巴豆,"粒,钱,个,两,克,g,枚,None,分"
