雄黄,"克,None,分,g,个,钱,两"
干胭脂,"None,钱"
黄芩浸膏,g
以,斤
酒川芎,g
白蔹,"两,克,g,分"
沉香与附子,None
须得正坐好者,None
贯众,"两,克,None"
紫苏,"分,两,g,钱,克,None"
白玉,两半
蛇麻子,g
太子参,g
透骨草,g
炒黄柏,"克,g"
藁本,"两,克,两1分,g,分"
细木通,"钱,克"
鹅不食草,None
用腊雪水浸,None
斑蝥,"钱,克,个,枚"
真蕲艾,钱
放汤瓶中,None
干虾蟆,分
白豆蔻,"两,克,g,钱"
全蝎钱半,None
春秋一日半,None
男子头发,两
入锅内,None
李根白皮,g
用瓷器蒸,两
黎辣根,g
鲜生地汁,克
鸡子,枚
生百部,g
参三七粉,g
甘遂,"g,分,两"
饴,两
黄柏炭末,g
研令如膏,None
怀熟地,钱
姜夏,g
入一椽头沙盒内,None
菵草,分
鲜芦根,g
消煅礞石,钱
蚕虫壳,g
紫花地丁,"两,g,克,钱"
枯矾,"None,g,分"
不灰木,"分,钱"
生地黄汁,升
人乳浸,"两,克"
二陈汤相合,None
沙苑子,"克,g,两"
前胡,"None,两,克,g,分,钱"
制大黄,钱5分
霜桑叶,两
贯众炭,g
净知母,克
浸透,None
煅西月石,钱5分
西琥珀,分
盛智仁,石
浓汁煎,碗
白灵丹,钱
新山药,两
鸡屎,None
竹沥,"瓢,毫升,g"
生杜仲,g
b炙草,g
茯苓,"钱,两,分,钱2分,克,None,两5钱,钱半,g,两2钱,石,钱5分"
茜草,"g,None,-5钱,分"
用火消,两
淡黄丹,钱
辰州朱砂,钱
百合,"None,分,钱,两,克,g,合,升"
牙消,克
北枣,枚
真川芎,两3钱
同结为砂子,None
舍上黑煤,两
虎杖,g
硬软得所,None
琥珀末,"克,g"
紫金片,分
白石膏,两
桃枝,"g,寸"
去皴皮,None
申刻火将完,None
芒消,"None,～10g,两,钱,克,g"
牧,None
去砂仁,None
樟脑,"None,g,字,两"
河南真绿豆粉,None
苏州薄荷叶,斤
轻粉儿茶,钱
炙椿皮,g
代代花,g
人中白,"钱,两"
白术,"None,钱,克,两,分,g,钱5分,两2钱,两1分,钱半"
川芎,"钱,克,分,两,两4钱,None,g,钱半,钱5分,斤"
火硝,"两,None,钱"
乌头,"克,两"
生莱菔子,克
乌,None
槟榔,"None,g,两,克,钱,个,两半,分,颗,枚"
捣罗为末,None
木瓜,"g,两,两半,None"
藕汁,"g,升"
桑根白皮,"两半,两,分,克"
淡大芸,g
白信石,"钱,None"
苏花,g
干山药,"钱,两5钱,克"
桑枝,"两,g,克,寸"
熟西庄,两
龟板,"克,g,两,None,钱,石"
蚕砂,"None,g"
生槐角,g
苇根汁,毫升
当归,"分,钱,两,g,克,None,钱2分,两5钱,两4钱,钱半,斤,-3钱,两6钱,两半"
京赤芍,克
用醋坛头上泥入桶内,None
胡桃肉,"None,克"
葵根,两
八戟天,g
蝉蜕,"克,None,两,个,g,分"
紫河车,"个,两"
土瓜根,两
自然铜,两
海桐皮,"两,克,钱,g"
地黄,"分,None,g,克"
苏子,"钱,None,两,g"
又次消水,None
百部,"钱,g,两,分"
童便浸,克
黑木耳,两
败酱草,"克,g"
鲜苍耳子,g
炙令黄色,两
羚羊角粉,g
m,克
略去白,None
姜汁,滴
鸡血藤,"g,石,克"
海马,具
用黄连,钱
遍去滑,None
山植,None
透明硫黄,两
生白矾末,钱
蛤壳,"两,克"
青箱子,两
石南枝头,钱
鸦胆子,"g,粒"
慢火煨焦黄香透,None
生没药,g
枣猬皮,克
桃仁,"克,枚,个,g,两,None,两5钱,钱,两1分"
腥星,g
洗/茵陈,g
马蔺子,克
生大黄末一方寸匕,None
昆布,"None,g"
白鲜皮,"g,分,None,克"
连翘,"None,两,克,g,钱,两4钱,两5钱,～24克,斤半,分,斤"
天麻,"克,g,两,钱,None"
太已丹,g
当归头,克
莪术,"钱,g,两,None"
制胆南星,g
槐花,"克,None,g,分"
生鲤鱼,尾
南沙参,"克,g"
入好酒,毫升
青连翘,钱
香薷,"两,钱,g"
看多少入白面,None
大栀子,两
糯米白酒,千克
广郁金,"钱,g"
另以砖砌,None
锉片晒干,斤
栀皮,克
核桃肉,两
鳖甲,"克,两,g,None,分,两半,钱2分"
猪胆膏,"None,g"
枳壳,"钱,克,None,两,g,分,两半,钱半"
降香,"g,钱"
白石英,钱
大蜘蛛,个
白研,两
用破故纸,份
瓜壳,g
黑羊粪,g
虻虫,"None,枚"
瓶煮干,None
漂茅术,两
酸枣仁,"g,克,两,钱,None"
天,None
芦荟,"钱,g,两,分,None,钱5分"
建曲,g
铁黄,g
滚这,-5个
味先用米泔水浸,None
苎麻根,g
投水一碗,None
隔水煮,None
公丁香,"g,分,克,两,枚,钱,None"
王不留行子,克
苦地丁,"两,None"
小麦,"粒,合"
诃子,"两,个,None,g,两半"
真藿香,钱
酒拌,两
龙胆草,"None,两,g,克,钱,两半"
四君子,None
谷躯,g
鳖甲辛,g
雅黄连,g
雄黄点醋同研,None
大虫魄,两
通草,"克,g,钱"
片黄芩,克
须入,None
山萸肉,"两,克,钱,两5钱,None,g,颗,两2钱,两1分,分,钱半"
碧玉散,g
白扁豆,"g,克"
鲜地黄,"斤,None"
炙令黄,None
绿豆衣,"克,钱"
猪乳,升
甘松,"钱半,g,钱"
番泻叶,g
紫石英,"g,克,None,分"
生苄,None
厚川柏,克
生于术,钱
鲜侧柏叶,g
佩兰,g
或加地骨皮,钱
糠馏油,g
仙鹤草,g
玄明粉,"克,两,钱,g"
紫草,"克,g,钱"
黄狗肾粉,g
焦栀,"钱,钱5分,克,g"
后下白芍,g
白花蛇舌草,"克,g"
捣研如膏,None
不去油,个
生锦文,g
山药肉,g
鹿鞭,具
人参,"钱,克,None,两,两5钱,g,分,两1分,两4钱,斤"
筛过极细末,None
生磁石,克
稀莶草,g
九蒸九晒,两
酒浸少顷,克
乌梢蛇,"g,克"
蕲蛇,"两,条,克"
人中黄,克
煎数沸去滓,None
生姜煎汤浸一日夜透,克
蛇胆川贝散,g
赤何首乌,两
防已,None
地龙,"g,两,钱"
生玳瑁,"钱,-5钱"
紫草根,"克,g"
熟地,"两,克,None,g,～15克,钱,钱2分,石,钱5分"
研为细末为衣,None
微赤茯苓,克
绯帛方,寸
旋覆花,"克,g,分,两"
鲜藕节,两
海蛤粉,"两,g"
热地,None
湖南蚌粉,块
海浮石,"克,g,钱,None"
炙甲片,g
胥碎补,g
煨防风,钱半
广角粉,克
麻子,粒
苦参,"两,g,斤,克,两半,钱5分,钱,None"
黄甘菊,"克,g"
茯苓二味,None
用酥炙,斤
八月扎,g
杏,None
加当归,None
用砂仁,克
以纸袋盛,None
大风子,"g,个"
用米泔炙,None
白花蛇肉,"克,两"
砂锅内蒸,None
鲜麦冬汁,克
时,None
麦芽,"两,克,g,None,钱"
鱼腥草,"克,g,石"
茶子,g
忍冬藤,"g,钱"
谷精草,"None,g,两"
陈仓米,克
门冬子,分
使君子肉,钱
生熟川军,钱
赤芍,"None,两,g,克,钱5分,分,钱,两半,-5钱"
猪脊髓,g
豨莶草,"两5钱,None,g,克"
陈皮,"克,钱,两,None,分,g"
土楝子,g
封合,None
炒黄芩,"克,钱"
生米仁,g
炒丹皮,"克,g"
黄荆子,钱2分
皂角,"克,两,钱,枚"
药水内落下炉甘石,None
粟米,合
阿胶,"分,钱,克,None,g,两,钱半"
雚芦,两
珍,None
小者不用,克
绿梅花,g
寒水石,"钱,None,克,两,g"
白莲须,克
黑荆穗,两
净洗,两
六一散,钱
铜绿,钱
地枫皮,g
云苓块,钱
香油,"g,None"
净花,None
欢皮,g
慢火熬成膏,None
夜明砂,"g,分"
当归须,None
明雄黄,克
何首乌,"两,None,克,g,钱"
桅子,g
指大,None
随汤煮干,克
血蝎,g
炒远志,两
鲜茭白根,两
白砂糖,克
白丁香,"克,钱半"
狸骨,两1分
煅皂矾,克
干地龙,g
淡条芩,None
茯芩,None
铁落花,g
醋淬,None
大茴香,钱
米泔浸炒,份
淡竹根,None
大青叶,"克,g,两"
又加南烧酒,千克
年用,None
女青,两
炙兜铃,g
于,None
清炙甘草,g
分作,份
银箔,片
淫羊藿,"克,None,g,两"
土茯苓,"两,g"
金沸草,g
不蛀皂荚,None
榆枝,寸
取黄,None
大枫,两
青皮,"None,克,两,g,两5钱,分,钱,钱5分"
小茴香炒,份
焦山栀子,g
生熟地黄,钱
虎胫骨,"两,None"
好白干酒,g
蒌,None
蚵蚾,钱
乌犀角,"钱,～24克,克"
大附子,两
可将球取起,None
及稍盖之,None
云南白药,g
尤以纸包石,None
放术,两
金箔,片
蜂蜜,"None,升,毫升,合"
水蛭,"g,None,枚"
枯白矾指大,块
佛手花,合
俱晒干,None
滤净清,None
因基黄,g
麻黄,"两,None,克,g,钱半,钱,分"
酒浸,"None,两,克"
石亭脂,两
参,None
皮白,g
熊胆,"克,钱,None,分"
葫芦巴,克
玛瑙,"克,分"
制附子,克
薤白,g
猪肾,"具,对"
芦根,"g,None,两,斤,分"
白矾,"克,None,钱,g,两"
炒桅子,g
红粉,g
尖及双仁,克
红糖,～5kg
去茯苓,None
基草,g
小蓟,g
石斛,"钱,克,两,两半,g,斤,None"
只将生者,None
淬炉甘石汁尽,克
珍珠母,g
%朱砂,g
山楂米,两
抱过鸡卵壳,None
土元,"两,g"
浙茯苓如克,None
制半夏,g
盐酸小檗碱,g
蕤仁,"钱,None,两"
合欢皮,g
酒炒,份
木贼,"None,钱,两,g,克"
生阿胶,钱
大乌梅,g
层层间隔,None
当归身,"两,钱,克,斤"
菜菔子,"g,None"
九制豨莶草,g
小蓟根,g
清黛,g
厚黄柏,克
生附子尖,个
夜交藤,"g,None"
三七末,g
黑艾叶,钱半
炮裂,None
酒拌蒸,两
%奴弗卡因,毫升
白豆腐,克
扁蓄,"斤,克,g,两"
独核肥皂,None
熟大黄红花,克
山椒,g
