雄黄,"钱,g,分,两,克,钱5分,None,分5厘,钱3分"
粗桂枝,克
全切片,None
兰花根,g
上,None
子捶碎,None
天冬,"g,两,None,钱,斤,克,两4钱,分,两半,两2钱,两7钱"
男子头发,克
逐旋入银石器内,None
鹿尾,"g,两"
盐制黄柏,g
瓦上焙干,None
糯米拌炒,None
味不下罐,None
维生素E,g
陈皮末,g
虎睛,对
鸡冠花,"g,两,钱,克"
生乌贼,g
蝙蝠,枚
北芍药,None
于白术,两
炒黄色,None
厚肉桂,"克,g"
仙人掌,g
陈桉炭,g
肥皂荚,"斤,挺"
古老钱,两
砂仁后下,g
炙乌贼骨,g
附予,两
散血飞,g
加五味子,None
削去白瓤,None
魇摩勒,枚
沸后冷,None
牡鼠骨,None
桃仁,"分,克,None,枚,两,钱,个,g,份,钱2分,粒"
当归附片,g
樟脑酒精,g
猪骨,g
炙蟾皮,g
捣碎细研,两
葱白,"茎,升,寸,个,None,斤"
薄荷,"克,None,两,钱,g,分,钱5分,两半"
旋覆花,"克,g,None,两,两1分"
勿令泄气,"克,None"
虾蟆灰,分
苦楝花,两
小油,两
羊石,对
候熔,None
用钻龟废壳亦可,None
黄连,"None,克,两,两6钱,分,g,钱,升,两半,铢,钱半,斤,石,两1分"
好白干酒,g
夏一日,克
制草乌头,g
山桅,g
穿山甲,"两,钱,None,克,片,g,分"
肉桂,"两,分,钱,钱5分,g,None,钱半,克,两半,两1分,斤,两6钱半,钱2分,尺"
不住手搅匀,None
猪殃殃,g
络石藤,"克,g,两"
莽草,"两,分,克,铢"
甘菊花,"克,两,分,钱,g"
百术,g
野鸽粪,两
大豆,"升,两,枚"
山豆根,"克,两,g,None,钱"
桔梗,"克,None,两,分,钱,g,两半,钱5分,两6钱半,两1分,份,升,斤"
两边剜去,None
"白茅
根",g
北矾,两
阿胶粉,g
大力,g
净麸,分
土虱,个
生白芍,"克,g,钱"
取出南星,None
米醋炙赤黄,两
羊蹄甲,只
七,个
北防风,None
槐角子,"两,克"
银箔,片
加车前子,None
地耳草,g
木鳖子仁,g
大麻子仁,个
石长生,两
葫芦巴,"两,两半,克"
生蒲黄,"克,g,None,钱"
以尖刀子于心中可剜去,None
孩儿胡,g
辽五味子,两
金,"两,锭"
熟艾,钱
黛蛤散,g
洋金花,"g,分"
谷麦芽,g
日足取出,None
去炭尽,克
苏术,None
益母草,"g,两,None,钱4分,钱,克,升"
制山萸肉,g
杏仁,"枚,克,分,斗,两,g,钱,个,None,钱半,斤,升,两半,-7枚,重,两8钱"
辽参量其人可服几何,两
甘枸杞子,None
煎掠去沫,None
白前,"g,两,分"
橘红倍之,None
研磨,克
不得过熟,两
用生白矾,两
制萱精,g
生熟,None
夜明沙,分
露蜂房,"克,只,g,个,两,None"
信石,克
胥碎补,g
救必应,g
柿霜饼,克
猪母聍叶,钱
血余炭,"g,两,钱4分,克,None"
煨莪术,克
曝干,None
制附,None
丹皮钱半,None
入前,None
破旧铜鼓皮,张
皂刺尖,分
鸡冠花干,钱
隔汤蒸一炷香久,None
灰,两
方入黄蜡,两
天麻子,两
枸杞苗,克
木腰子,g
上官粉,钱5分
猪心,"个,克"
锻龙骨,g
高良姜,"克,g,分,两"
棕板炭,两
黄花,g
银珠,分5厘
白硼砂,"克,钱"
黄白蜡,g
黑豆衣,g
入于银器中,None
石臼内生杵如糊,None
鲜生姜,钱
七爪橘红,斤8两
制升麻,g
猪苓,"钱,两,克,g,None,分,千克,两半"
雄鼠粪,枚
经霜丝瓜,钱
荗香,两
新木瓜,None
去刺,斤
共研为但末,None
紫苏青皮,钱
杜蘅,两
炒五灵脂,g
五倍子,"g,克,钱,None,两,分"
焙黄香,钱
芡实米,g
生党参,g
零陵香,"两,克,分"
糊精,g
木蝴蝶,g
瓜篓皮,g
丹收,克
抱茯神,两
巴豆,"钱,粒,枚,个,两,分,克,None,g,钱半"
理中汤加橘红,两
然后研如膏,None
皂荚针,两
知母春秋,两
辰砂为衣,None
