雄黄,"钱,g,分,两,克,钱5分,None,分5厘,钱3分"
山楂片,g
令水内澄取出晒干,两
飞青黛,None
蛇床子,"两,克,升,两半,分,钱,g,钱5分,None"
九层风,g
荔枝子,个
水杨柳,None
大两,None
炙桂枝,g
大当归,"钱,两"
车前草,"None,g,克"
为末听用,None
肉桂子,g
郁金l,g
咱黄连,g
韶粉,"块,钱"
焦子芩,g
焦艾叶,克
椒豉,None
紫苋叶,握
味醋浸,None
槐白皮,"两,斤,分"
二陈加苍术,钱
草梢,钱
俱要真正者,None
凌霄花,"g,分"
炒丹参,g
上川连,None
龟膏,克
入童便内,None
取焙干,None
白米面,千克
芝麻油,g
海螵蛸,"克,两,g,None,钱,分,铢"
铅粉,"两,克,分,None,钱"
五倍子末,克
黄苓,"None,g"
蘘荷叶,分
熟蒲黄,钱
海蛤,"两半,None,两"
紫苏茎叶,"g,克,两,两半,分"
丁香枝杖,斤
麦冬,"两,两半,None,钱,克,g,升,分,两5钱,斤,石,钱5分,两2钱,钱2分,两1分,两8钱"
作饼,两
寿亲养老新书,克
全蝎,"克,g,条,两,分,份,尾,钱,枚,只,None,个,钱5分"
生龙牡,g
地上用碗合少顷去火毒,None
银朱,"g,两,None"
八月礼,g
食盐末,分
桕油烛,两
穿山龙,"g,克"
红葵花,分
制远志,"g,克"
珍珠层粉,g
河砂拌炒松脆,None
泽泻茯苓,g
蜂窠,分
桑百皮,g
垂柳枝,寸
小柴胡汤加石膏,None
破故子,"g,两,钱,分,两半,克,None,钱5分"
食盐,"匙,None,钱,g"
生桅子,千克
芙蓉叶,"None,g"
甘草.,None
炒薏末,g
别研,克
远志,"g,两,钱,分,钱5分,克,斤,两半,两1分,None,石"
活泥鳅,条
用糯米泔浸,None
则再入清水锅中煮烊,None
莱菔子,"两,克,g,升,钱5分"
良方,克
鲎鱼胆,两
醋玄胡,g
白蜂蜜,"千克,g"
五色龙骨,克
白矾,"两,克,g,None,斤8两,钱,分,两半,斤4两,-2枚"
白云苓,"克,钱"
自死干龟壳,个
炮甲片,g
白梁米,合
生附子,"两,g,钱"
刺猬皮,"g,None,两,两半,枚"
水牛角,"g,None"
石青,分
可烧得,钱
山桂,斤
糯米,"斗5升,石,克,～100克,g,粒,合,None,两,撮"
炙乳没,钱
红糖,"克,g"
制蚤休,合
皂角荚,None
南沙参,"克,g,两"
王灵脂,g
黎芦,克
取子,合
用生姜自然汁拌匀,None
鲜接骨仙桃草,g
西大黄,两半
松实,升
糯稻根,g
绞股蓝,g
牛胆南星,"钱,两"
生梨,g
巴豆粉,None
肉豆蔻,"None,g,两,个,克,钱,枚,分,两5钱"
木香后下,g
苍术炭,分
香荆齐酚,g
蔗浆,None
桑桂枝,g
更入乌鸡子清,枚
草决,克
琐阳,"钱,两"
上桂心,g
甘州枸杞子,两
川巴豆肉,个
绢袋子盛,None
竹胡荽,None
陈广皮,g
菟丝子,"g,两,None,斤,克,钱,分,两2钱,升,石,～45克,两4钱"
怀熟地黄,"斤,两,克"
老黑醋,克
降香节,两
待黑豆香熟取出晒干,None
生绿豆芽,g
燕窝,克
官桂心,分
柔黄而香,None
至午日取,克
藿香正气散加丁香,钱
白花蛇虫草,g
白木耳,g
蒸熟,"None,两"
去滑,两
去翅,个
弹子大,None
阿魏,"两,None,钱,两半,g,分,克"
生玳瑁,克
白茄根,克
参芦鞭,两
车前子,"两,两5钱,升,克,钱,g,None,千克,分,两1分,钱2分"
葛根,"None,g,克,石,两5钱,分,两,两半,钱,钱半"
马蔺花,两
赤饭豆,None
猪牙皂荚,两
大蒜,"None,g,个"
捣烂取汁,None
捣研,两
童便炒香附,克
诃勒黎皮,分
