雄黄,"钱,钱7分,g,钱5分,分,两,克"
黄岑,None
尖双仁,"None,分"
紫菀,"千克,g,两,None,分"
甜白术,钱
象牙屑,克
密陀僧,"钱,两,g,None"
绿豆粉,None
厚朴,"钱5分,两,None,克,g,分,钱,钱半"
酒浸,"分,None"
凤凰衣,钱
制没药,g
老青黛,g
浮小麦,"合,钱,g"
朴消,"两,None,钱"
熊胆,两
谷芽,"两,g"
藿朴夏苓汤,None
制附子,g
薤白,"石,克"
羚羊角屑,"两,两半"
瓜蒌,"g,钱,个,克,分,两"
黄皮叶,g
白矾,"克,两,g,钱,None,铢,分"
硇砂,"克,钱,分"
红茶,g
红糖,克
云茯苓,"g,升"
吴茱萸,"g,两,None,分,升,钱"
豉心,两
木香,"两,g,钱4分,钱,克,分,None,至3钱,钱半"
小蓟,"克,g"
石斛,"分,钱,两半,None,两"
冬麻子,升
醋淬七遍,克
%生大黄,g
阳起石,克
代赭,"分,两"
华阴细辛,钱
干蟾,枚
马兰,None
生姜汁炙,"两,分"
新豉,克
白蔻皮,克
防风,"None,两,克,钱,g,～15g,分,钱4分,升,钱半,斤"
蒲荷,g
牛角腮,两半
罂粟,"两,克,g"
炙微黄,"None,克"
紫珠草,g
防己,"两,g,两半,None"
鹿角霜,g
厚朴花,g
生麦门冬,克
北五味子,钱
山果子,None
栝楼实,枚
柴胡,"None,克,～9克,分,千克,钱,钱6分,钱半,两,～12克,g,石,斤"
沙药,g
炙僵蚕,克
当归身,"钱,两"
毕澄茄,"克,两,钱"
狗脊,"钱,两"
熟枯矾,钱
菖根,g
大盏,None
金箔,"片,张"
大丽参,钱
千年健,两
油,克
夜交藤,g
常山,两
大腹皮,"两,g,克,None,分"
甜瓜子每岁,粒
炮裂,两
不蒸则此物最不肯干,None
天花粉,"g,克,None,两,钱"
制附片,g
同上,None
炒令虚,None
扁蓄,g
硬石膏,钱
杭青皮,钱
板蓝根,"克,g,None"
藿香,"两,克,钱4分,None,g,石,斤"
用炭煅通红,克
生甘草,"None,克,钱,g,两"
功劳叶,g
鲜芡实,克
粳米,"～60g,克,分"
草蔻,"g,两,分,两半,克"
芦荟,"钱,两,分,钱半"
结猪苓,钱
鲜葱白,～5枚
白芥子,"g,分,两"
煨肉豆蔻,g
姜,片
元胡,"两,g,克"
时,None
猫粪散,g
太子参,g
砂仁,"钱,两,None,g,分,克,钱5分"
矿石灰,None
用醋,升
党参,"两,g,克"
华夏,g
炒乌药,克
柴胡子,g
蛇床仁,克
忍名藤,g
枇杷叶,"g,钱,None"
淫羊藿,"g,分,克,两"
硫黄,"钱,两,None"
松香末,两
雷丸,两
郁金,"两,g,克,None,钱"
鲜茅根,克
茯苓块,克
荆沥,合
准牛膝,g
款冬花,"g,钱,None"
白薇,"克,g,None,分"
波斯盐绿,两
明雄黄,g
