连轺,g
垂柳枝,克
破故子,"两半,克,两,g,None,钱"
痹藤,g
肉苁,g
茅香花,分
鲜旱莲草,克
楝条,None
先前,None
茶末,克
别研,两
生香附,"两,g,钱8分"
远志,"两,None,g,石,分,升,克,钱,钱5分,钱2分"
炒党参,g
次蒸晒,两
绿豆,"分,合"
巴豆仁,"个,克,粒"
莱菔子,"克,两,g,分,斤8两,钱,None,两半,匙"
猫头骨牙爪,副
皂荚子仁,分
炒白芷,g
但不可经铁器,None
炮甲片,g
好酒煮,None
川木瓜,g
鲜凤尾草,根
生附子,"g,None"
圆眼肉,两
竹刀切片,斤
刺猬皮,"两,g,克"
水牛角,"克,g"
细茶,克
生绿豆,g
制蚤休,合
蘼芜花,分
南沙参,"克,g"
白茯,"None,两5钱"
生薏苡仁,g
山栀子炭,g
乱发灰,"分,两"
软石膏末,钱
绞股蓝,g
上药并锉细,None
蛇甲,克
焦山查,g
煅硼砂,g
金粉,钱
梅核仁,个
肉豆蔻,"g,克,钱5分,钱,两,None,枚,个"
玉竹参,g
华细辛根,两
阿魏,"克,g,钱,None,两,两半"
草决,克
关木通,g
碎用,两
碱花,g
寒水石,"g,两,钱,盏,克,None,两半"
鹿香,g
鸡矢藤,g
乌犀屑,两
菟丝子,"两,克,g,石,None,钱,分,两4钱,～15克,斤,两5钱,两半"
分为,贴
大鲤鱼,个
侧柏叶粉,g
龙柏花,克
用生姜,两
白木耳,g
芜花,钱
蛤蝓,对
温姜,钱半
豆霜,钱7分
去翅,None
五味子打碎,g
入猪苓,两
车前子,"克,钱,两,g,None,分,两半,钱5分,钱半,石"
葛根,"克,两,g,None,分,钱,两半,钱5分,-30克,斤,钱半,两3钱,千克,两5钱"
酸枣,g
猪牙皂荚,两
小油夏,两
炒令干,碗
以微火慢炒,两
薜解,g
杜仲,"两,克,钱5分,g,钱,None,分,两1分,两8钱,钱半,两5钱,两半,斤"
赤石脂粉,克
青果炭,克
[方源]科研用药,None
恒山,"两,None,分"
煎掠去沫,两
蒴藋,两
约尽姜汁半碗许为度,None
炒炮姜,g
藏瓜姜内糟,两
春秋,两
珍珠母,"g,克,None"
去土净刮去粗皮,None
%酒精,两
威灵仙根,g
舶上茴香,"两,钱"
犀角屑,"克,分,None,两"
紫石英,"None,g,两,克"
炙熟,None
苍耳茎叶,g
剪草,None
犀角,"g,克,钱半,两,钱,分,None"
紫诃车,g
药量比例为,None
鲜芦根,"g,克"
羊肝,克
干荷叶,"None,角"
白鸡冠花,g
皂角大,挺
真陈橘皮,克
白芹子,g
枣肉,"升,分,两"
地枣仁,g
炙乳香,"克,g"
知母,"g,两,克,None,石,钱,分,两8钱,钱5分,钱半"
